,date,accuracy,potential
0,2024-11-11,1,1158.6562599999888
0,2024-11-12,1,362.2578099999955
0,2024-11-13,1,1347.84375
0,2024-11-14,1,569.9765599999955
0,2024-11-17,1,1699.42968999999
0,2024-11-18,1,585.796880000009
0,2024-11-19,1,1307.3203099999955
0,2024-11-20,1,135.92187999999442
0,2024-11-21,1,43.835940000004484
0,2024-11-24,0,-1.0
0,2024-11-25,1,829.8906299999944
0,2024-11-26,1,1750.0625
0,2024-11-27,1,377.85936999999103
0,2024-11-28,1,1241.875
0,2024-12-01,1,499.6484300000011
0,2024-12-02,1,145.0546800000011
0,2024-12-03,0,-1.0
0,2024-12-04,1,384.09375
0,2024-12-05,1,356.4140599999955
0,2024-12-08,1,351.5781299999944
0,2024-12-09,1,509.7265699999989
0,2024-12-10,1,305.9296800000011
0,2024-12-11,1,366.82031000001007
0,2024-12-12,1,395.9609300000011
0,2024-12-15,1,642.828119999991
0,2024-12-16,1,474.39843999998993
0,2024-12-17,1,550.7031299999944
0,2024-12-18,1,777.3984399999899
0,2024-12-19,1,681.8359400000045
0,2024-12-22,1,200.64844000000448
0,2024-12-23,1,577.5859400000045
0,2024-12-24,0,-1.0
0,2024-12-25,1,216.32811999999103
0,2024-12-26,1,283.375
0,2024-12-29,0,-1.0
0,2024-12-30,1,797.5546899999899
0,2024-12-31,1,163.64063000000897
0,2025-01-01,0,-1.0
0,2025-01-02,1,162.27344000000448
0,2025-01-05,1,170.85155999999552
0,2025-01-06,1,725.7109400000045
0,2025-01-07,1,699.5312599999888
0,2025-01-08,1,651.28125
0,2025-01-09,1,147.65625
0,2025-01-12,1,825.46875
0,2025-01-13,1,184.83594000000448
0,2025-01-14,1,47.007809999995516
0,2025-01-15,0,-1.0
0,2025-01-16,0,-1.0
0,2025-01-19,1,169.38281000001007
0,2025-01-20,1,329.1093799999944
0,2025-01-21,1,2637.656259999989
0,2025-01-22,1,949.21875
0,2025-01-23,0,-1.0
0,2025-01-26,1,501.3828099999955
0,2025-01-27,1,392.7109400000045
0,2025-01-28,1,1224.15625
0,2025-01-29,1,347.76561999999103
0,2025-01-30,1,120.64062000000558
0,2025-02-02,1,41.35937999999442
0,2025-02-03,0,-1.0
0,2025-02-04,1,641.8984400000045
0,2025-02-05,1,230.90625
0,2025-02-06,0,-1.0
0,2025-02-10,0,-1.0
0,2025-02-11,0,-1.0
0,2025-02-12,0,-1.0
0,2025-02-13,1,1254.9453099999955
0,2025-02-16,1,885.1796900000045
0,2025-02-17,1,543.2656299999944
0,2025-02-18,1,574.078119999991
0,2025-02-19,0,-1.0
0,2025-02-20,1,906.9765600000101
0,2025-02-24,1,406.1484300000011
0,2025-02-25,1,1128.390630000009
0,2025-02-26,0,-1.0
0,2025-02-27,1,1295.546869999991
0,2025-03-02,1,795.75
0,2025-03-03,1,2559.335930000001
0,2025-03-04,1,1235.0156200000056
0,2025-03-05,1,186.17968999998993
0,2025-03-06,1,1943.3984400000045
0,2025-03-09,1,2006.695319999999
0,2025-03-10,0,-1.0
0,2025-03-11,1,1544.054680000001
0,2025-03-12,1,112.125
0,2025-03-13,1,1071.65625
0,2025-03-16,1,51.85156000001007
0,2025-03-17,1,388.07811999999103
0,2025-03-18,0,-1.0
0,2025-03-19,1,826.671880000009
0,2025-03-20,1,439.75
0,2025-03-23,1,838.6640599999955
0,2025-03-24,1,1082.242180000001
0,2025-03-25,1,1102.8828099999955
0,2025-03-26,1,546.7421900000045
0,2025-03-27,1,722.5703099999955
0,2025-04-03,0,-1.0
0,2025-04-06,0,-1.0
0,2025-04-07,0,-1.0
0,2025-04-08,0,-1.0
0,2025-04-09,1,5589.6015599999955
0,2025-04-10,0,-1.0
0,2025-04-13,1,294.2031299999944
0,2025-04-14,0,-1.0
0,2025-04-15,1,408.5
0,2025-04-16,0,-1.0
