,date,accuracy,potential
0,2024-11-08,1,94.69922000000224
0,2024-11-11,1,90.10156000000279
0,2024-11-12,1,37.75
0,2024-11-13,1,21.599609999997483
0,2024-11-14,0,-1.0
0,2024-11-18,1,252.6484399999972
0,2024-11-19,0,-1.0
0,2024-11-21,0,-1.0
0,2024-11-22,1,534.4492199999986
0,2024-11-25,0,-1.0
0,2024-11-26,1,16.0
0,2024-11-27,1,81.59960999999748
0,2024-11-28,1,173.5507800000014
0,2024-11-29,1,174.5
0,2024-12-02,1,2.550780000001396
0,2024-12-03,1,49.548829999999725
0,2024-12-04,1,113.10156000000279
0,2024-12-05,0,-1.0
0,2024-12-06,1,140.90038999999888
0,2024-12-09,0,-1.0
0,2024-12-10,0,-1.0
0,2024-12-11,1,112.15038999999888
0,2024-12-12,1,342.55077999999776
0,2024-12-13,1,131.65038999999888
0,2024-12-16,1,299.4511700000003
0,2024-12-17,1,35.298829999999725
0,2024-12-18,1,256.3984399999972
0,2024-12-19,1,81.45117000000027
0,2024-12-20,1,154.84961000000112
0,2024-12-23,1,45.5
0,2024-12-24,1,101.14843999999721
0,2024-12-26,0,-1.0
0,2024-12-27,0,-1.0
0,2024-12-30,0,-1.0
0,2024-12-31,1,49.40038999999888
0,2025-01-01,1,99.05077999999776
0,2025-01-02,1,164.54882999999973
0,2025-01-03,1,48.300780000001396
0,2025-01-06,1,166.34961000000112
0,2025-01-07,1,15.351560000002792
0,2025-01-08,1,46.451170000000275
0,2025-01-09,1,56.84961000000112
0,2025-01-10,1,281.3984399999972
0,2025-01-13,1,104.04882999999973
0,2025-01-14,1,22.599609999997483
0,2025-01-15,0,-1.0
0,2025-01-16,1,75.55077999999776
0,2025-01-17,1,44.201170000000275
0,2025-01-20,1,115.20117000000027
0,2025-01-21,1,106.84961000000112
0,2025-01-22,0,-1.0
0,2025-01-23,0,-1.0
0,2025-01-24,0,-1.0
0,2025-01-27,1,25.699220000002242
0,2025-01-28,1,221.34961000000112
0,2025-01-29,1,51.55077999999776
0,2025-01-30,1,41.60156000000279
0,2025-01-31,1,56.84960999999748
0,2025-02-01,1,259.75
0,2025-02-03,0,-1.0
0,2025-02-04,1,26.050780000001396
0,2025-02-05,1,116.40039000000252
0,2025-02-06,1,175.3007800000014
0,2025-02-07,1,139.90038999999888
0,2025-02-10,0,-1.0
0,2025-02-11,1,316.0996100000011
0,2025-02-12,0,-1.0
0,2025-02-13,1,70.3007800000014
0,2025-02-14,1,238.15038999999888
0,2025-02-17,1,162.75
0,2025-02-18,1,259.5507800000014
0,2025-02-19,1,98.19922000000224
0,2025-02-20,1,286.9492199999986
0,2025-02-21,1,179.4492199999986
0,2025-02-24,1,54.65038999999888
0,2025-02-25,0,-1.0
0,2025-02-27,1,428.4492199999986
0,2025-02-28,1,147.20117000000027
0,2025-03-03,1,327.3984399999972
0,2025-03-04,1,261.69922000000224
0,2025-03-05,0,-1.0
0,2025-03-06,1,52.30077999999776
0,2025-03-07,1,144.04882999999973
0,2025-03-10,1,79.55077999999776
0,2025-03-11,1,267.4511700000003
0,2025-03-12,1,51.25
0,2025-03-13,1,233.40038999999888
0,2025-03-17,0,-1.0
0,2025-03-18,1,105.75
0,2025-03-19,1,151.0
0,2025-03-20,1,205.15038999999888
0,2025-03-21,1,178.09960999999748
0,2025-03-24,1,114.19922000000224
0,2025-03-25,1,164.15039000000252
0,2025-03-26,1,24.849609999997483
0,2025-03-27,1,73.8007800000014
0,2025-03-28,1,144.54882999999973
0,2025-04-01,1,56.048829999999725
0,2025-04-02,1,53.550780000001396
0,2025-04-03,1,582.8496100000011
0,2025-04-04,1,959.4511700000003
0,2025-04-07,0,-1.0
0,2025-04-08,1,264.4511700000003
0,2025-04-09,1,404.5996100000011
0,2025-04-11,1,425.1992199999986
0,2025-04-15,1,96.75
0,2025-04-16,1,86.6992199999986
