,date,accuracy,potential
0,2024-11-11,1,4.020019999999931
0,2024-11-12,1,5.450019999999995
0,2024-11-13,1,2.67999999999995
0,2024-11-14,0,-1.0
0,2024-11-15,1,1.270020000000045
0,2024-11-18,1,13.409980000000019
0,2024-11-19,1,2.6700499999999465
0,2024-11-20,1,4.3599799999999505
0,2024-11-21,1,4.65996999999993
0,2024-11-22,0,-1.0
0,2024-11-25,0,-1.0
0,2024-11-26,1,4.779969999999935
0,2024-11-27,1,0.7999899999999798
0,2024-11-29,0,-1.0
0,2024-12-02,1,4.760009999999966
0,2024-12-03,1,8.28003000000001
0,2024-12-04,1,18.77997000000005
0,2024-12-05,0,-1.0
0,2024-12-06,1,4.58001999999999
0,2024-12-09,1,10.420039999999972
0,2024-12-10,0,-1.0
0,2024-12-11,1,3.0900300000000698
0,2024-12-12,1,8.69001000000003
0,2024-12-13,1,6.729979999999955
0,2024-12-16,1,7.040039999999976
0,2024-12-17,1,1.2900399999999763
0,2024-12-18,1,4.989989999999921
0,2024-12-19,1,0.28003000000001066
0,2024-12-20,1,9.380010000000084
0,2024-12-23,1,0.30999000000008436
0,2024-12-24,1,1.0800100000000157
0,2024-12-26,1,1.8399699999999939
0,2024-12-27,0,-1.0
0,2024-12-30,0,-1.0
0,2024-12-31,1,4.139949999999999
0,2025-01-02,1,0.1600300000000061
0,2025-01-03,1,7.79998999999998
0,2025-01-06,0,-1.0
0,2025-01-07,1,3.6500199999999268
0,2025-01-08,1,5.409979999999905
0,2025-01-10,0,-1.0
0,2025-01-13,1,7.910039999999981
0,2025-01-14,1,9.359989999999925
0,2025-01-15,1,0.1099899999999252
0,2025-01-16,1,10.690000000000055
0,2025-01-17,0,-1.0
0,2025-01-21,1,2.1799899999999752
0,2025-01-22,1,2.100029999999947
0,2025-01-23,0,-1.0
0,2025-01-24,1,1.659970000000044
0,2025-01-27,1,3.0200199999999313
0,2025-01-28,1,2.1500199999999268
0,2025-01-29,1,2.0499899999999798
0,2025-01-30,1,1.9899900000000343
0,2025-01-31,1,13.95001000000002
0,2025-02-03,1,1.5400399999999763
0,2025-02-04,0,-1.0
0,2025-02-05,1,5.4900499999999965
0,2025-02-06,0,-1.0
0,2025-02-07,1,4.940000000000055
0,2025-02-10,1,2.300049999999942
0,2025-02-11,1,9.489990000000034
0,2025-02-12,1,1.2300399999999172
0,2025-02-13,1,6.059999999999945
0,2025-02-14,1,3.4400100000000293
0,2025-02-18,1,8.629999999999995
0,2025-02-19,1,4.54998999999998
0,2025-02-20,1,1.5999799999999595
0,2025-02-21,1,6.1200000000000045
0,2025-02-24,1,14.0
0,2025-02-25,1,5.0999700000000985
0,2025-02-26,1,6.950019999999995
0,2025-02-27,1,10.43999999999994
0,2025-02-28,0,-1.0
0,2025-03-03,1,3.460019999999986
0,2025-03-04,1,13.83001999999999
0,2025-03-05,0,-1.0
0,2025-03-06,1,1.6799899999999752
0,2025-03-07,1,2.429990000000089
0,2025-03-10,1,0.30999999999994543
0,2025-03-11,1,9.759950000000003
0,2025-03-12,1,2.6200000000000045
0,2025-03-13,0,-1.0
0,2025-03-14,1,2.339960000000019
0,2025-03-17,1,5.2200299999999515
0,2025-03-18,1,3.359989999999925
0,2025-03-19,0,-1.0
0,2025-03-20,1,12.220029999999952
0,2025-03-21,1,0.010010000000079344
0,2025-03-24,1,5.930050000000051
0,2025-03-25,1,8.369989999999916
0,2025-03-26,1,4.159970000000044
0,2025-03-27,1,5.9000200000000405
0,2025-03-28,1,7.88000999999997
0,2025-03-31,0,-1.0
0,2025-04-01,1,5.590029999999956
0,2025-04-02,0,-1.0
0,2025-04-03,0,-1.0
0,2025-04-04,1,30.640010000000075
0,2025-04-07,0,-1.0
0,2025-04-08,1,6.45001000000002
0,2025-04-09,1,22.46996999999999
0,2025-04-10,1,8.150030000000015
0,2025-04-11,1,10.259950000000003
0,2025-04-14,1,6.360050000000001
0,2025-04-15,1,4.0
0,2025-04-16,1,10.289980000000014
