,date,accuracy,potential
0,2024-11-11,0,-1
0,2024-11-12,1,5.690010000000001
0,2024-11-13,0,-1
0,2024-11-14,1,2.099989999999991
0,2024-11-15,1,4.83999
0,2024-11-18,1,4.530000000000001
0,2024-11-19,0,-1
0,2024-11-20,1,0.0599899999999991
0,2024-11-21,1,1.8699900000000014
0,2024-11-22,1,6.589999999999975
0,2024-11-25,0,-1
0,2024-11-26,1,1.8999900000000025
0,2024-11-27,0,-1
0,2024-11-29,1,0.7600100000000225
0,2024-12-02,1,2.9899899999999775
0,2024-12-03,0,-1
0,2024-12-04,1,11.530000000000001
0,2024-12-05,1,0.6100000000000136
0,2024-12-06,1,0.7199999999999989
0,2024-12-09,0,-1
0,2024-12-10,0,-1
0,2024-12-11,1,4.0
0,2024-12-12,1,1.5699999999999932
0,2024-12-13,1,1.1999899999999855
0,2024-12-16,0,-1
0,2024-12-17,1,0.28999999999999204
0,2024-12-18,1,5.389989999999983
0,2024-12-19,1,3.4100099999999998
0,2024-12-20,1,2.039989999999989
0,2024-12-23,1,0.7900100000000236
0,2024-12-24,1,0.7899899999999889
0,2024-12-26,1,5.180000000000007
0,2024-12-27,1,7.630000000000024
0,2024-12-30,1,1.2100100000000111
0,2024-12-31,1,3.510009999999994
0,2025-01-02,1,6.800000000000011
0,2025-01-03,1,7.699990000000014
0,2025-01-06,1,1.329999999999984
0,2025-01-07,1,4.619990000000001
0,2025-01-08,0,-1
0,2025-01-10,1,8.91001
0,2025-01-13,0,-1
0,2025-01-14,1,0.9200000000000159
0,2025-01-15,1,3.240000000000009
0,2025-01-16,0,-1
0,2025-01-17,0,-1
0,2025-01-21,1,2.4399999999999977
0,2025-01-22,1,4.719999999999999
0,2025-01-23,1,2.5
0,2025-01-24,1,3.199990000000014
0,2025-01-27,0,-1
0,2025-01-28,1,2.3899999999999864
0,2025-01-29,1,2.319999999999993
0,2025-01-30,1,1.8300100000000157
0,2025-01-31,1,7.280000000000001
0,2025-02-03,1,0.14000000000001478
0,2025-02-04,0,-1
0,2025-02-05,1,2.3300000000000125
0,2025-02-06,1,0.7899899999999889
0,2025-02-07,1,7.41001
0,2025-02-10,1,6.590000000000003
0,2025-02-11,1,4.640000000000015
0,2025-02-12,1,1.5999899999999911
0,2025-02-13,1,0.13999999999998636
0,2025-02-14,1,1.9499999999999886
0,2025-02-18,1,1.2599899999999877
0,2025-02-19,1,7.329999999999984
0,2025-02-20,1,2.7700000000000102
0,2025-02-21,1,4.970010000000002
0,2025-02-24,1,6.75
0,2025-02-25,1,6.179990000000004
0,2025-02-26,1,7.840010000000007
0,2025-02-27,0,-1
0,2025-02-28,1,0.6500000000000057
0,2025-03-03,1,14.609999999999985
0,2025-03-04,0,-1
0,2025-03-05,0,-1
0,2025-03-06,1,10.310000000000002
0,2025-03-07,1,13.110000000000014
0,2025-03-10,1,8.760009999999994
0,2025-03-11,1,9.530000000000001
0,2025-03-12,1,2.5
0,2025-03-13,0,-1
0,2025-03-14,1,1.9099999999999966
0,2025-03-17,0,-1
0,2025-03-18,1,5.120010000000008
0,2025-03-19,1,0.19999999999998863
0,2025-03-20,1,0.3100000000000023
0,2025-03-21,0,-1
0,2025-03-24,1,3.25
0,2025-03-25,1,0.8599999999999852
0,2025-03-26,1,5.889999999999986
0,2025-03-27,1,6.920000000000016
0,2025-03-28,1,10.600000000000023
0,2025-03-31,1,9.690010000000001
0,2025-04-01,1,2.780000000000001
0,2025-04-02,1,17.450019999999995
0,2025-04-03,1,16.960000000000008
0,2025-04-04,1,9.79000000000002
0,2025-04-07,0,-1
0,2025-04-08,0,-1
0,2025-04-09,1,15.540010000000024
0,2025-04-10,1,1.8199999999999932
0,2025-04-11,1,1.920000000000016
0,2025-04-14,0,-1
0,2025-04-15,1,1.6899999999999977
0,2025-04-16,1,1.6699999999999875
