,date,accuracy,potential
0,2024-10-30,1,11.030029999999897
0,2024-10-31,1,3.9001499999999396
0,2024-11-03,0,-1.0
0,2024-11-04,1,2.4101599999999053
0,2024-11-05,1,0.6000999999996566
0,2024-11-10,1,5.129880000000412
0,2024-11-11,0,-1.0
0,2024-11-12,1,2.5
0,2024-11-13,1,14.370120000000043
0,2024-11-14,1,4.720220000000154
0,2024-11-17,1,5.090090000000146
0,2024-11-18,1,1.6601599999999053
0,2024-11-19,1,1.0497999999997774
0,2024-11-20,0,-1.0
0,2024-11-21,0,-1.0
0,2024-11-24,0,-1.0
0,2024-11-25,0,-1.0
0,2024-11-26,1,5.159909999999854
0,2024-11-27,0,-1.0
0,2024-11-28,1,2.8501000000001113
0,2024-12-01,1,0.8698699999999917
0,2024-12-02,1,3.4599600000001374
0,2024-12-03,1,2.0
0,2024-12-04,1,6.030029999999897
0,2024-12-05,1,4.740240000000085
0,2024-12-08,0,-1.0
0,2024-12-09,1,0.049799999999777356
0,2024-12-10,1,0.810059999999794
0,2024-12-11,1,0.469970000000103
0,2024-12-12,0,-1.0
0,2024-12-15,0,-1.0
0,2024-12-16,1,2.0300300000003517
0,2024-12-17,0,-1.0
0,2024-12-22,1,7.91991999999982
0,2024-12-23,1,1.8000499999998283
0,2024-12-24,1,2.139889999999923
0,2024-12-25,1,6.409909999999854
0,2024-12-26,1,9.239990000000034
0,2024-12-29,1,1.0100099999999657
0,2024-12-30,1,5.120120000000043
0,2024-12-31,0,-1.0
0,2025-01-05,1,3.1999500000001717
0,2025-01-06,1,3.9001500000003944
0,2025-01-07,1,4.0
0,2025-01-08,1,4.330079999999725
0,2025-01-09,1,1.6599099999998543
0,2025-01-12,1,3.5998500000000604
0,2025-01-13,1,19.780029999999897
0,2025-01-14,1,5.489990000000034
0,2025-01-15,1,1.83008000000018
0,2025-01-16,1,4.469969999999648
0,2025-01-19,0,-1.0
0,2025-01-20,1,5.26976999999988
0,2025-01-21,1,2.2299800000000687
0,2025-01-22,1,0.8501000000001113
0,2025-01-23,1,7.119869999999992
0,2025-01-26,1,1.5998499999996056
0,2025-01-27,1,2.0200199999999313
0,2025-01-28,1,5.699949999999717
0,2025-01-29,1,2.4299300000002404
0,2025-01-30,1,2.3200699999997596
0,2025-02-02,1,25.5
0,2025-02-03,0,-1.0
0,2025-02-04,1,5.760009999999966
0,2025-02-05,1,9.780029999999897
0,2025-02-06,0,-1.0
0,2025-02-10,1,10.280029999999897
0,2025-02-12,1,3.2600099999999657
0,2025-02-13,1,3.8500999999996566
0,2025-02-16,1,3.2399900000000343
0,2025-02-17,0,-1.0
0,2025-02-18,1,2.9001499999999396
0,2025-02-19,0,-1.0
0,2025-02-20,1,2.0600600000002487
0,2025-02-23,0,-1.0
0,2025-02-24,0,-1.0
0,2025-02-25,0,-1.0
0,2025-02-26,1,23.53978999999981
0,2025-02-27,1,5.340090000000146
0,2025-03-03,1,11.689939999999751
0,2025-03-04,1,8.260009999999966
0,2025-03-05,0,-1.0
0,2025-03-06,1,4.75
0,2025-03-09,1,8.029779999999846
0,2025-03-10,1,15.350100000000111
0,2025-03-11,1,10.639889999999923
0,2025-03-12,0,-1.0
0,2025-03-13,1,4.799799999999777
0,2025-03-16,1,2.530029999999897
0,2025-03-17,1,3.469970000000103
0,2025-03-18,1,7.760009999999966
0,2025-03-19,1,3.360110000000077
0,2025-03-20,1,4.060059999999794
0,2025-03-23,1,5.659909999999854
0,2025-03-24,1,8.210210000000188
0,2025-03-25,1,7.479980000000069
0,2025-03-26,1,17.53978999999981
0,2025-03-27,1,127.64013999999997
0,2025-04-06,0,-1.0
0,2025-04-07,0,-1.0
0,2025-04-08,1,21.300050000000283
0,2025-04-09,0,-1.0
0,2025-04-10,1,11.020019999999931
0,2025-04-13,0,-1.0
0,2025-04-14,1,1.7099600000001374
0,2025-04-15,0,-1.0
0,2025-04-16,1,7.639889999999923
