,date,accuracy,potential
0,2024-11-11,1,2.5
0,2024-11-12,1,5.36999000000003
0,2024-11-13,0,-1.0
0,2024-11-14,1,5.979979999999955
0,2024-11-15,1,2.479979999999955
0,2024-11-18,1,12.409980000000019
0,2024-11-19,1,1.0200199999999313
0,2024-11-20,1,5.100030000000061
0,2024-11-21,1,3.2299800000000687
0,2024-11-22,0,-1.0
0,2024-11-25,1,3.7600099999999657
0,2024-11-26,1,6.330010000000016
0,2024-11-27,0,-1.0
0,2024-11-29,1,4.040039999999976
0,2024-12-02,1,5.410030000000006
0,2024-12-03,1,0.12994000000003325
0,2024-12-04,1,4.309989999999971
0,2024-12-05,0,-1.0
0,2024-12-06,0,-1.0
0,2024-12-09,1,4.510009999999966
0,2024-12-10,1,0.8399699999999939
0,2024-12-11,0,-1.0
0,2024-12-12,1,9.929990000000089
0,2024-12-13,1,6.390010000000075
0,2024-12-16,1,5.830010000000016
0,2024-12-17,0,-1.0
0,2024-12-18,1,1.9800399999999172
0,2024-12-19,1,4.5999700000000985
0,2024-12-20,1,12.130010000000084
0,2024-12-23,1,1.1199900000000298
0,2024-12-24,1,4.989990000000034
0,2024-12-26,1,12.279970000000048
0,2024-12-27,1,15.579960000000028
0,2024-12-30,1,0.6599800000000187
0,2024-12-31,1,0.40002000000004045
0,2025-01-02,1,0.9299899999999752
0,2025-01-03,0,-1.0
0,2025-01-06,1,6.3299500000000535
0,2025-01-07,1,12.369989999999916
0,2025-01-08,1,17.53997000000004
0,2025-01-10,1,5.29998999999998
0,2025-01-13,0,-1.0
0,2025-01-14,0,-1.0
0,2025-01-15,1,3.660039999999981
0,2025-01-16,0,-1.0
0,2025-01-17,0,-1.0
0,2025-01-21,1,5.41998000000001
0,2025-01-22,1,2.439999999999941
0,2025-01-23,1,0.6900000000000546
0,2025-01-24,1,8.76001000000008
0,2025-01-27,1,7.3499700000000985
0,2025-01-28,0,-1.0
0,2025-01-29,1,27.45995999999991
0,2025-01-30,0,-1.0
0,2025-01-31,1,12.14002000000005
0,2025-02-03,1,4.290030000000002
0,2025-02-04,1,9.39002000000005
0,2025-02-05,1,3.090029999999956
0,2025-02-06,0,-1.0
0,2025-02-07,1,0.5400399999999763
0,2025-02-10,1,6.8799999999999955
0,2025-02-11,1,7.140009999999961
0,2025-02-12,1,23.72002999999995
0,2025-02-13,0,-1.0
0,2025-02-14,1,6.8499799999999595
0,2025-02-18,1,3.019959999999969
0,2025-02-19,1,8.549980000000005
0,2025-02-20,1,1.199950000000058
0,2025-02-21,0,-1.0
0,2025-02-24,1,10.580010000000016
0,2025-02-25,1,1.2900399999999763
0,2025-02-26,1,3.6799899999999752
0,2025-02-27,0,-1.0
0,2025-02-28,0,-1.0
0,2025-03-03,0,-1.0
0,2025-03-04,1,2.7599500000000035
0,2025-03-05,1,11.069949999999949
0,2025-03-06,1,3.2600099999999657
0,2025-03-07,1,15.989990000000034
0,2025-03-10,1,21.89000999999996
0,2025-03-11,1,11.940000000000055
0,2025-03-12,1,8.090019999999981
0,2025-03-13,0,-1.0
0,2025-03-14,0,-1.0
0,2025-03-17,1,8.479979999999955
0,2025-03-18,0,-1.0
0,2025-03-19,1,4.08001999999999
0,2025-03-20,1,7.270019999999931
0,2025-03-21,0,-1.0
0,2025-03-24,0,-1.0
0,2025-03-25,1,0.17004999999994652
0,2025-03-26,1,4.410039999999981
0,2025-03-27,1,13.520020000000045
0,2025-03-28,1,12.15002000000004
0,2025-03-31,1,9.86999000000003
0,2025-04-01,1,8.789980000000014
0,2025-04-02,1,42.109989999999925
0,2025-04-03,1,38.55004999999994
0,2025-04-04,1,26.709960000000024
0,2025-04-07,0,-1.0
0,2025-04-08,1,7.139949999999999
0,2025-04-09,1,36.09997999999996
0,2025-04-10,1,10.809999999999945
0,2025-04-11,0,-1.0
0,2025-04-14,0,-1.0
0,2025-04-15,1,11.60003000000006
0,2025-04-16,0,-1.0
