,date,accuracy,potential
0,2024-11-08,1,2.2999899999999798
0,2024-11-11,1,2.599969999999985
0,2024-11-12,1,12.14996999999994
0,2024-11-13,1,5.739990000000034
0,2024-11-14,1,3.4400000000000546
0,2024-11-18,0,-1.0
0,2024-11-19,0,-1.0
0,2024-11-21,0,-1.0
0,2024-11-22,0,-1.0
0,2024-11-25,1,4.819950000000063
0,2024-11-26,1,0.75
0,2024-11-27,1,3.4500699999998687
0,2024-11-28,1,3.159979999999905
0,2024-11-29,1,2.3700599999999667
0,2024-12-02,1,6.25
0,2024-12-03,0,-1.0
0,2024-12-04,1,6.469969999999989
0,2024-12-05,0,-1.0
0,2024-12-06,1,0.37000000000011823
0,2024-12-09,1,1.030029999999897
0,2024-12-10,0,-1.0
0,2024-12-11,1,2.3499799999999595
0,2024-12-12,1,15.390080000000012
0,2024-12-13,1,0.7099699999998847
0,2024-12-16,1,10.110110000000077
0,2024-12-17,1,5.940000000000055
0,2024-12-18,1,15.779970000000048
0,2024-12-19,1,3.7799699999999348
0,2024-12-20,1,6.389949999999999
0,2024-12-23,1,1.4899900000000343
0,2024-12-24,1,5.270020000000045
0,2024-12-26,0,-1.0
0,2024-12-27,1,4.660030000000006
0,2024-12-30,1,9.479979999999955
0,2024-12-31,1,4.469969999999989
0,2025-01-01,1,4.810000000000059
0,2025-01-02,1,1.7599500000000035
0,2025-01-03,1,11.23998999999992
0,2025-01-06,0,-1.0
0,2025-01-07,1,5.070009999999911
0,2025-01-08,1,4.339960000000019
0,2025-01-09,0,-1.0
0,2025-01-10,1,12.559999999999945
0,2025-01-13,0,-1.0
0,2025-01-14,1,0.46996999999998934
0,2025-01-15,0,-1.0
0,2025-01-16,1,6.229979999999955
0,2025-01-17,1,0.48999000000003434
0,2025-01-20,1,4.809999999999945
0,2025-01-21,1,5.04998999999998
0,2025-01-22,1,4.020019999999931
0,2025-01-23,1,6.029969999999935
0,2025-01-24,1,16.56000000000006
0,2025-01-27,1,8.489990000000034
0,2025-01-28,1,0.21002999999996064
0,2025-01-29,0,-1.0
0,2025-01-30,1,8.520020000000045
0,2025-01-31,1,1.3299600000000282
0,2025-02-01,1,24.40002000000004
0,2025-02-03,0,-1.0
0,2025-02-04,0,-1.0
0,2025-02-05,1,1.909970000000044
0,2025-02-06,1,10.410030000000006
0,2025-02-07,1,11.5399799999999
0,2025-02-10,1,12.410030000000006
0,2025-02-11,1,16.429989999999975
0,2025-02-12,1,3.3400199999999813
0,2025-02-13,1,7.290039999999976
0,2025-02-14,1,11.23004000000003
0,2025-02-17,1,8.79998999999998
0,2025-02-18,1,4.479979999999955
0,2025-02-19,1,1.9699699999999893
0,2025-02-20,1,8.890009999999961
0,2025-02-21,1,9.129999999999995
0,2025-02-24,1,3.8200100000000248
0,2025-02-25,1,3.0599999999999454
0,2025-02-27,1,15.049980000000005
0,2025-02-28,1,4.20001000000002
0,2025-03-03,0,-1.0
0,2025-03-04,0,-1.0
0,2025-03-05,0,-1.0
0,2025-03-06,1,2.0100099999999657
0,2025-03-07,1,1.2299800000000687
0,2025-03-10,1,8.479979999999955
0,2025-03-11,1,7.119989999999916
0,2025-03-12,1,0.5700099999999111
0,2025-03-13,0,-1.0
0,2025-03-17,0,-1.0
0,2025-03-18,1,0.9099700000000439
0,2025-03-19,0,-1.0
0,2025-03-20,0,-1.0
0,2025-03-21,1,9.80998999999997
0,2025-03-24,1,5.289980000000014
0,2025-03-25,0,-1.0
0,2025-03-26,1,3.0100099999999657
0,2025-03-27,1,4.7000099999999065
0,2025-03-28,1,5.850040000000035
0,2025-04-01,1,6.33001999999999
0,2025-04-02,1,5.520020000000045
0,2025-04-03,1,21.729979999999955
0,2025-04-04,1,47.87005999999997
0,2025-04-07,0,-1.0
0,2025-04-08,1,8.51995999999997
0,2025-04-09,0,-1.0
0,2025-04-11,1,16.569940000000088
0,2025-04-15,1,3.0599899999999707
0,2025-04-16,1,8.640010000000075
