,date,accuracy,potential
0,2024-11-11,1,6.199709999999868
0,2024-11-12,1,16.470220000000154
0,2024-11-13,1,19.72998000000007
0,2024-11-14,0,-1.0
0,2024-11-15,1,2.870119999999588
0,2024-11-18,0,-1.0
0,2024-11-19,1,54.970219999999244
0,2024-11-20,1,29.439940000000206
0,2024-11-21,1,3.3300799999997253
0,2024-11-22,0,-1.0
0,2024-11-25,0,-1.0
0,2024-11-26,0,-1.0
0,2024-11-27,0,-1.0
0,2024-11-29,0,-1.0
0,2024-12-02,1,12.94970000000012
0,2024-12-03,0,-1.0
0,2024-12-04,1,7.680180000000291
0,2024-12-05,0,-1.0
0,2024-12-06,1,30.9697299999998
0,2024-12-09,1,10.149900000000343
0,2024-12-10,1,45.09034000000065
0,2024-12-11,1,24.09034000000065
0,2024-12-12,1,13.0
0,2024-12-13,0,-1.0
0,2024-12-16,0,-1.0
0,2024-12-17,1,19.370120000000497
0,2024-12-18,1,64.04980999999952
0,2024-12-19,1,29.310050000000047
0,2024-12-20,1,28.869619999999486
0,2024-12-23,0,-1.0
0,2024-12-24,1,30.330079999999725
0,2024-12-26,1,87.89989999999943
0,2024-12-27,1,102.12988000000041
0,2024-12-30,1,8.100100000000566
0,2024-12-31,1,4.019539999999324
0,2025-01-02,0,-1.0
0,2025-01-03,0,-1.0
0,2025-01-06,1,21.870119999999588
0,2025-01-07,1,25.189940000000206
0,2025-01-08,1,102.72998000000007
0,2025-01-10,1,51.189940000000206
0,2025-01-13,1,34.04004000000077
0,2025-01-14,1,106.9697299999998
0,2025-01-15,1,11.529779999999846
0,2025-01-16,0,-1.0
0,2025-01-17,0,-1.0
0,2025-01-21,0,-1.0
0,2025-01-22,1,9.550300000000789
0,2025-01-23,1,6.229980000000069
0,2025-01-24,0,-1.0
0,2025-01-27,1,18.110350000000835
0,2025-01-28,1,20.950190000000475
0,2025-01-29,1,7.529779999999846
0,2025-01-30,1,49.19969999999921
0,2025-01-31,1,115.8496099999993
0,2025-02-03,1,3.970220000000154
0,2025-02-04,1,28.990240000000085
0,2025-02-05,0,-1.0
0,2025-02-06,1,18.34034000000065
0,2025-02-07,0,-1.0
0,2025-02-10,1,19.05030000000079
0,2025-02-11,1,64.9399400000002
0,2025-02-12,0,-1.0
0,2025-02-13,1,0.1298800000004121
0,2025-02-14,1,3.820310000000063
0,2025-02-18,1,17.34034000000065
0,2025-02-19,1,56.91016000000036
0,2025-02-20,1,45.92968999999994
0,2025-02-21,1,34.29003999999986
0,2025-02-24,1,63.69970000000012
0,2025-02-25,1,52.18017999999938
0,2025-02-26,1,35.130380000000514
0,2025-02-27,1,17.85985999999957
0,2025-02-28,1,23.12988999999925
0,2025-03-03,0,-1.0
0,2025-03-04,1,11.350100000000566
0,2025-03-05,1,91.35010000000057
0,2025-03-06,1,43.55029000000013
0,2025-03-07,1,128.46972000000005
0,2025-03-10,1,64.68018000000029
0,2025-03-11,1,16.51025000000027
0,2025-03-12,0,-1.0
0,2025-03-13,0,-1.0
0,2025-03-14,1,5.049799999999777
0,2025-03-17,1,74.95996000000014
0,2025-03-18,0,-1.0
0,2025-03-19,1,40.98974999999973
0,2025-03-20,1,58.1298799999995
0,2025-03-21,0,-1.0
0,2025-03-24,1,0.9199200000002747
0,2025-03-25,1,28.459960000000137
0,2025-03-26,1,39.21971999999914
0,2025-03-27,1,91.8798799999995
0,2025-03-28,1,90.25976999999966
0,2025-03-31,1,50.560059999999794
0,2025-04-01,1,59.439940000000206
0,2025-04-02,0,-1.0
0,2025-04-03,1,275.3701200000005
0,2025-04-04,1,234.04003000000012
0,2025-04-07,0,-1.0
0,2025-04-08,1,35.81982000000062
0,2025-04-09,1,171.0698199999997
0,2025-04-10,1,43.04003999999986
0,2025-04-11,0,-1.0
0,2025-04-14,0,-1.0
0,2025-04-15,1,79.99024000000009
0,2025-04-16,1,29.10008999999991
