,date,accuracy,potential
0,2024-11-08,1,18.59997999999996
0,2024-11-11,1,24.84997999999996
0,2024-11-12,1,4.949949999999944
0,2024-11-13,0,-1.0
0,2024-11-14,1,27.44995999999992
0,2024-11-18,0,-1.0
0,2024-11-19,1,46.0
0,2024-11-21,1,15.899899999999889
0,2024-11-22,1,33.30004000000008
0,2024-11-25,1,7.25
0,2024-11-26,1,8.40002000000004
0,2024-11-27,1,32.199949999999944
0,2024-11-28,1,38.25
0,2024-11-29,1,20.650030000000015
0,2024-12-02,0,-1.0
0,2024-12-03,1,1.4502000000002226
0,2024-12-04,1,19.35010000000011
0,2024-12-05,1,24.10010000000011
0,2024-12-06,1,32.05004999999983
0,2024-12-09,1,12.450070000000096
0,2024-12-10,1,9.149899999999889
0,2024-12-11,1,28.099969999999985
0,2024-12-12,0,-1.0
0,2024-12-13,0,-1.0
0,2024-12-16,1,35.5
0,2024-12-17,0,-1.0
0,2024-12-18,0,-1.0
0,2024-12-19,1,15.299929999999904
0,2024-12-20,1,19.5
0,2024-12-23,1,5.649899999999889
0,2024-12-24,1,32.150030000000015
0,2024-12-26,0,-1.0
0,2024-12-27,1,14.449949999999944
0,2024-12-30,0,-1.0
0,2024-12-31,0,-1.0
0,2025-01-01,1,4.049929999999904
0,2025-01-02,1,45.0
0,2025-01-03,1,18.450070000000096
0,2025-01-06,1,8.549929999999904
0,2025-01-07,1,11.650030000000015
0,2025-01-08,0,-1.0
0,2025-01-09,1,59.950070000000096
0,2025-01-10,1,19.0
0,2025-01-13,1,32.400030000000015
0,2025-01-14,1,11.75
0,2025-01-15,1,36.949949999999944
0,2025-01-16,1,10.849969999999985
0,2025-01-17,1,15.650030000000015
0,2025-01-20,1,14.549929999999904
0,2025-01-21,1,28.59997999999996
0,2025-01-22,1,23.0
0,2025-01-23,1,36.0
0,2025-01-24,0,-1.0
0,2025-01-27,1,37.64989999999989
0,2025-01-28,1,35.75
0,2025-01-29,1,2.5500500000000557
0,2025-01-30,1,11.0
0,2025-01-31,0,-1.0
0,2025-02-01,1,34.549929999999904
0,2025-02-03,1,1.3501000000001113
0,2025-02-04,1,34.14989999999989
0,2025-02-05,1,4.650030000000015
0,2025-02-06,1,2.299929999999904
0,2025-02-07,1,32.849969999999985
0,2025-02-10,0,-1.0
0,2025-02-11,1,0.8501000000001113
0,2025-02-12,1,0.8000400000000809
0,2025-02-13,1,35.5
0,2025-02-14,1,9.049929999999904
0,2025-02-17,1,8.5
0,2025-02-18,1,37.449949999999944
0,2025-02-19,1,10.399899999999889
0,2025-02-20,1,7.800050000000056
0,2025-02-21,1,26.950070000000096
0,2025-02-24,0,-1.0
0,2025-02-25,1,22.5
0,2025-02-27,0,-1.0
0,2025-02-28,1,27.900030000000015
0,2025-03-03,1,31.60010000000011
0,2025-03-04,1,16.40002000000004
0,2025-03-05,0,-1.0
0,2025-03-06,1,32.75
0,2025-03-07,1,18.84997999999996
0,2025-03-10,0,-1.0
0,2025-03-11,1,13.849969999999985
0,2025-03-12,1,10.899899999999889
0,2025-03-13,1,8.800050000000056
0,2025-03-17,0,-1.0
0,2025-03-18,0,-1.0
0,2025-03-19,1,48.349969999999985
0,2025-03-20,0,-1.0
0,2025-03-21,0,-1.0
0,2025-03-24,1,12.849969999999985
0,2025-03-25,1,11.950070000000096
0,2025-03-26,1,18.449949999999944
0,2025-03-27,1,2.3499799999999595
0,2025-03-28,0,-1.0
0,2025-04-01,0,-1.0
0,2025-04-02,1,11.399899999999889
0,2025-04-03,0,-1.0
0,2025-04-04,0,-1.0
0,2025-04-07,1,30.5
0,2025-04-08,1,33.40002000000004
0,2025-04-09,1,24.40002000000004
0,2025-04-11,0,-1.0
0,2025-04-15,1,4.75
0,2025-04-16,1,6.399899999999889
