,date,accuracy,potential
0,2024-11-11,1,167.49022999999943
0,2024-11-12,1,157.55077999999776
0,2024-11-13,1,69.33984999999666
0,2024-11-14,1,165.58984000000055
0,2024-11-15,1,93.6992199999986
0,2024-11-18,1,192.15039000000252
0,2024-11-19,1,124.81054999999833
0,2024-11-20,0,-1.0
0,2024-11-21,1,178.6093699999983
0,2024-11-22,1,477.16015999999945
0,2024-11-25,0,-1.0
0,2024-11-26,1,55.240239999999176
0,2024-11-27,1,117.0507800000014
0,2024-11-29,1,198.94922000000224
0,2024-12-02,0,-1.0
0,2024-12-03,1,106.4609300000011
0,2024-12-04,1,87.81054999999833
0,2024-12-05,1,137.1406199999983
0,2024-12-06,1,92.14063000000169
0,2024-12-09,1,75.26954000000114
0,2024-12-10,1,105.82030999999915
0,2024-12-11,1,136.73047000000224
0,2024-12-12,1,107.3398500000003
0,2024-12-13,1,81.42968999999721
0,2024-12-16,1,173.38868000000002
0,2024-12-17,1,16.050780000001396
0,2024-12-18,1,200.70019000000138
0,2024-12-19,1,101.41993000000002
0,2024-12-20,1,102.70996000000014
0,2024-12-23,1,50.41016000000127
0,2024-12-24,1,101.65917999999874
0,2024-12-26,1,50.740240000000995
0,2024-12-27,1,289.79003999999986
0,2024-12-30,0,-1.0
0,2024-12-31,1,14.299799999998868
0,2025-01-02,1,122.23045999999886
0,2025-01-03,0,-1.0
0,2025-01-06,1,29.229489999999714
0,2025-01-07,1,157.3701199999996
0,2025-01-08,0,-1.0
0,2025-01-10,1,121.08007999999973
0,2025-01-13,1,209.7294899999997
0,2025-01-14,1,298.3808599999993
0,2025-01-15,1,45.65038999999888
0,2025-01-16,1,177.06835999999748
0,2025-01-17,0,-1.0
0,2025-01-21,0,-1.0
0,2025-01-22,0,-1.0
0,2025-01-23,1,87.59961000000112
0,2025-01-24,0,-1.0
0,2025-01-27,0,-1.0
0,2025-01-28,0,-1.0
0,2025-01-29,1,283.6406199999983
0,2025-01-30,1,55.09961000000112
0,2025-01-31,0,-1.0
0,2025-02-03,1,141.83984000000055
0,2025-02-04,1,100.61035000000084
0,2025-02-05,0,-1.0
0,2025-02-06,1,45.760739999999714
0,2025-02-07,0,-1.0
0,2025-02-10,1,79.50098000000071
0,2025-02-11,1,226.8798800000004
0,2025-02-12,1,97.11913999999888
0,2025-02-13,0,-1.0
0,2025-02-14,1,23.720699999998033
0,2025-02-18,0,-1.0
0,2025-02-19,1,158.5195300000014
0,2025-02-20,1,0.570319999998901
0,2025-02-21,1,45.62987999999859
0,2025-02-24,1,124.83984999999848
0,2025-02-25,1,214.91016000000127
0,2025-02-26,1,49.84961000000112
0,2025-02-27,0,-1.0
0,2025-02-28,1,146.2197299999989
0,2025-03-03,1,426.8007800000014
0,2025-03-04,1,150.17090000000098
0,2025-03-05,1,45.29003999999986
0,2025-03-06,1,109.33983999999873
0,2025-03-07,0,-1.0
0,2025-03-10,1,17.879880000000412
0,2025-03-11,1,254.79003999999986
0,2025-03-12,1,33.62010999999984
0,2025-03-13,1,131.57030999999915
0,2025-03-14,1,47.54979999999887
0,2025-03-17,0,-1.0
0,2025-03-18,1,48.62988000000041
0,2025-03-19,1,43.12988000000041
0,2025-03-20,0,-1.0
0,2025-03-21,0,-1.0
0,2025-03-24,1,59.37011999999959
0,2025-03-25,1,100.92968999999903
0,2025-03-26,1,102.54004000000168
0,2025-03-27,0,-1.0
0,2025-03-28,1,195.64062000000013
0,2025-03-31,1,235.52930000000015
0,2025-04-01,1,135.74023999999918
0,2025-04-02,1,1139.2597699999988
0,2025-04-03,1,824.389650000001
0,2025-04-04,1,595.1904300000006
0,2025-04-07,0,-1.0
0,2025-04-08,1,127.10059000000001
0,2025-04-09,0,-1.0
0,2025-04-10,0,-1.0
0,2025-04-11,0,-1.0
0,2025-04-14,1,102.30957000000126
0,2025-04-15,1,263.860349999999
0,2025-04-16,1,275.4003900000007
