,date,accuracy,potential
0,2024-11-13,0,-1
0,2024-11-14,1,11.969969999999876
0,2024-11-15,0,-1
0,2024-11-18,1,12.379879999999957
0,2024-11-19,1,1.8100500000000466
0,2024-11-20,1,1.0900900000001457
0,2024-11-21,1,1.3800000000001091
0,2024-11-22,0,-1
0,2024-11-25,1,6.710080000000062
0,2024-11-26,1,6.590089999999918
0,2024-11-27,0,-1
0,2024-11-28,1,5.219970000000103
0,2024-11-29,1,8.219969999999876
0,2024-12-02,1,2.0599399999998695
0,2024-12-03,1,7.119999999999891
0,2024-12-04,1,3.3100500000000466
0,2024-12-05,0,-1
0,2024-12-06,1,1.29004000000009
0,2024-12-09,1,5.430049999999937
0,2024-12-10,0,-1
0,2024-12-11,0,-1
0,2024-12-12,0,-1
0,2024-12-13,0,-1
0,2024-12-16,1,7.160039999999981
0,2024-12-17,1,5.270010000000184
0,2024-12-18,1,4.709960000000137
0,2024-12-19,1,10.099969999999985
0,2024-12-20,1,0.45006999999986874
0,2024-12-23,1,5.0799500000000535
0,2024-12-24,1,4.549929999999904
0,2024-12-27,0,-1
0,2024-12-30,0,-1
0,2024-12-31,0,-1
0,2025-01-02,1,10.829960000000028
0,2025-01-03,1,0.4100300000000061
0,2025-01-06,1,12.060050000000047
0,2025-01-07,1,3.3299600000000282
0,2025-01-08,1,2.5400399999998626
0,2025-01-09,1,25.47998000000007
0,2025-01-10,1,11.86999999999989
0,2025-01-13,1,4.359989999999925
0,2025-01-14,1,17.790039999999863
0,2025-01-15,1,5.119999999999891
0,2025-01-16,0,-1
0,2025-01-17,0,-1
0,2025-01-20,1,9.420039999999972
0,2025-01-21,1,0.020010000000183936
0,2025-01-22,1,5.550040000000081
0,2025-01-23,1,1.0899600000000191
0,2025-01-24,1,12.140010000000075
0,2025-01-27,1,10.019900000000007
0,2025-01-28,1,7.970090000000027
0,2025-01-29,1,20.910030000000006
0,2025-01-30,1,3.339969999999994
0,2025-01-31,1,42.02001999999993
0,2025-02-03,1,10.10997999999995
0,2025-02-04,0,-1
0,2025-02-05,1,0.3900199999998222
0,2025-02-06,1,6.739999999999782
0,2025-02-07,0,-1
0,2025-02-10,0,-1
0,2025-02-11,0,-1
0,2025-02-12,0,-1
0,2025-02-13,1,9.350100000000111
0,2025-02-14,1,4.770019999999931
0,2025-02-18,0,-1
0,2025-02-19,1,10.86999999999989
0,2025-02-20,1,10.429930000000013
0,2025-02-21,1,6.359989999999925
0,2025-02-24,1,11.189949999999953
0,2025-02-25,0,-1
0,2025-02-26,1,7.899899999999889
0,2025-02-27,1,6.699949999999944
0,2025-02-28,0,-1
0,2025-03-03,1,38.6900599999999
0,2025-03-04,1,2.0200199999999313
0,2025-03-05,0,-1
0,2025-03-06,1,2.8800099999998565
0,2025-03-07,0,-1
0,2025-03-10,1,3.7899199999999382
0,2025-03-11,1,0.9000200000000405
0,2025-03-12,1,0.7399900000000343
0,2025-03-13,1,18.27001999999993
0,2025-03-14,1,12.169920000000047
0,2025-03-17,0,-1
0,2025-03-18,1,17.430049999999937
0,2025-03-19,1,5.380000000000109
0,2025-03-20,1,15.960079999999834
0,2025-03-21,0,-1
0,2025-03-24,0,-1
0,2025-03-25,1,4.719970000000103
0,2025-03-26,1,1.5200200000001587
0,2025-03-27,1,16.970090000000027
0,2025-03-28,1,11.399899999999889
0,2025-03-31,1,4.219970000000103
0,2025-04-01,1,13.109989999999925
0,2025-04-02,1,52.040030000000115
0,2025-04-03,1,75.81995000000006
0,2025-04-04,1,15.959969999999885
0,2025-04-07,1,31.15002000000004
0,2025-04-08,1,19.03002000000015
0,2025-04-09,1,45.71008000000006
0,2025-04-10,1,0.6500200000000405
0,2025-04-11,1,19.090090000000146
0,2025-04-14,1,13.280029999999897
0,2025-04-15,0,-1
0,2025-04-16,1,6.780029999999897
