,date,accuracy,potential
0,2024-11-11,1,16.280279999999948
0,2024-11-12,1,8.909659999999349
0,2024-11-13,1,5.679689999999937
0,2024-11-14,0,-1.0
0,2024-11-15,1,2.870119999999588
0,2024-11-18,1,36.54979999999978
0,2024-11-19,1,0.37011000000075
0,2024-11-20,1,29.27001999999993
0,2024-11-21,1,23.490230000000338
0,2024-11-22,1,51.75
0,2024-11-25,1,20.350099999999657
0,2024-11-26,1,26.14013000000068
0,2024-11-27,1,29.509769999999662
0,2024-11-29,1,12.64991000000009
0,2024-12-02,1,12.94970000000012
0,2024-12-03,1,24.930179999999382
0,2024-12-04,1,7.680180000000291
0,2024-12-05,0,-1.0
0,2024-12-06,0,-1.0
0,2024-12-09,1,10.149900000000343
0,2024-12-10,0,-1.0
0,2024-12-11,0,-1.0
0,2024-12-12,1,26.25
0,2024-12-13,0,-1.0
0,2024-12-16,1,37.18018000000029
0,2024-12-17,1,19.370120000000497
0,2024-12-18,1,64.04980999999952
0,2024-12-19,1,65.88038000000051
0,2024-12-20,1,10.57031999999981
0,2024-12-23,0,-1.0
0,2024-12-24,0,-1.0
0,2024-12-26,1,87.89989999999943
0,2024-12-27,1,102.12988000000041
0,2024-12-30,1,8.100100000000566
0,2024-12-31,1,48.66015000000061
0,2025-01-02,1,50.80030000000079
0,2025-01-03,0,-1.0
0,2025-01-06,1,21.870119999999588
0,2025-01-07,0,-1.0
0,2025-01-08,0,-1.0
0,2025-01-10,0,-1.0
0,2025-01-13,1,10.409659999999349
0,2025-01-14,1,106.9697299999998
0,2025-01-15,1,13.680180000000291
0,2025-01-16,1,65.80029999999988
0,2025-01-17,1,38.52001999999993
0,2025-01-21,1,43.3798799999995
0,2025-01-22,1,9.550300000000789
0,2025-01-23,1,8.809579999999187
0,2025-01-24,0,-1.0
0,2025-01-27,1,18.110350000000835
0,2025-01-28,1,20.950190000000475
0,2025-01-29,1,40.60009999999966
0,2025-01-30,1,49.19969999999921
0,2025-01-31,0,-1.0
0,2025-02-03,1,37.27001999999993
0,2025-02-04,1,28.990240000000085
0,2025-02-05,1,18.060059999999794
0,2025-02-06,1,46.29003999999986
0,2025-02-07,1,45.18017999999938
0,2025-02-10,1,19.05030000000079
0,2025-02-11,0,-1.0
0,2025-02-12,0,-1.0
0,2025-02-13,1,11.709960000000137
0,2025-02-14,1,9.929689999999937
0,2025-02-18,1,17.34034000000065
0,2025-02-19,1,56.91016000000036
0,2025-02-20,0,-1.0
0,2025-02-21,1,29.169920000000275
0,2025-02-24,1,63.69970000000012
0,2025-02-25,1,52.18017999999938
0,2025-02-26,1,35.130380000000514
0,2025-02-27,1,40.600100000000566
0,2025-02-28,1,23.12988999999925
0,2025-03-03,0,-1.0
0,2025-03-04,1,28.459960000000137
0,2025-03-05,0,-1.0
0,2025-03-06,1,31.439949999999953
0,2025-03-07,0,-1.0
0,2025-03-10,1,64.68018000000029
0,2025-03-11,1,67.68017000000054
0,2025-03-12,0,-1.0
0,2025-03-13,1,91.29003999999986
0,2025-03-14,1,31.240240000000085
0,2025-03-17,1,74.95996000000014
0,2025-03-18,1,43.62011000000075
0,2025-03-19,1,40.98974999999973
0,2025-03-20,1,58.1298799999995
0,2025-03-21,1,93.61961999999949
0,2025-03-24,1,0.9199200000002747
0,2025-03-25,1,6.359860000000481
0,2025-03-26,1,39.21971999999914
0,2025-03-27,1,91.8798799999995
0,2025-03-28,0,-1.0
0,2025-03-31,1,50.560059999999794
0,2025-04-01,1,59.439940000000206
0,2025-04-02,0,-1.0
0,2025-04-03,0,-1.0
0,2025-04-04,1,234.04003000000012
0,2025-04-07,1,204.3999100000001
0,2025-04-08,1,35.81982000000062
0,2025-04-09,0,-1.0
0,2025-04-10,1,43.04003999999986
0,2025-04-11,1,94.69970000000012
0,2025-04-14,0,-1.0
0,2025-04-15,0,-1.0
0,2025-04-16,1,29.10008999999991
