,date,accuracy,potential
0,2024-11-11,1,4.510009999999966
0,2024-11-12,1,6.869989999999916
0,2024-11-13,1,4.429930000000013
0,2024-11-14,1,3.1500200000000405
0,2024-11-15,0,-1.0
0,2024-11-18,1,6.920039999999972
0,2024-11-19,1,7.299930000000131
0,2024-11-20,0,-1.0
0,2024-11-21,1,8.320060000000012
0,2024-11-22,1,5.550040000000081
0,2024-11-25,1,14.569950000000063
0,2024-11-26,1,8.189939999999979
0,2024-11-27,1,15.589969999999994
0,2024-11-29,1,39.67993000000001
0,2024-12-02,1,6.350089999999909
0,2024-12-03,0,-1.0
0,2024-12-04,0,-1.0
0,2024-12-05,1,19.319940000000088
0,2024-12-06,1,34.57996000000003
0,2024-12-09,1,9.719969999999876
0,2024-12-10,0,-1.0
0,2024-12-11,1,2.8299600000000282
0,2024-12-12,1,9.430049999999937
0,2024-12-13,0,-1.0
0,2024-12-16,1,22.530029999999897
0,2024-12-17,1,9.169920000000047
0,2024-12-18,0,-1.0
0,2024-12-19,1,1.6600300000000061
0,2024-12-20,1,0.1400100000000748
0,2024-12-23,1,0.33996000000001914
0,2024-12-24,0,-1.0
0,2024-12-26,1,5.890010000000075
0,2024-12-27,1,10.219969999999876
0,2024-12-30,0,-1.0
0,2024-12-31,0,-1.0
0,2025-01-02,0,-1.0
0,2025-01-03,1,11.849969999999985
0,2025-01-06,1,6.430050000000165
0,2025-01-07,1,11.79004000000009
0,2025-01-08,1,15.009890000000041
0,2025-01-10,1,18.679930000000013
0,2025-01-13,0,-1.0
0,2025-01-14,0,-1.0
0,2025-01-15,1,0.1400100000000748
0,2025-01-16,1,8.04004000000009
0,2025-01-17,0,-1.0
0,2025-01-21,1,36.770010000000184
0,2025-01-22,1,9.319949999999835
0,2025-01-23,1,5.719970000000103
0,2025-01-24,0,-1.0
0,2025-01-27,1,12.66003999999998
0,2025-01-28,1,20.5
0,2025-01-29,0,-1.0
0,2025-01-30,1,20.72997999999984
0,2025-01-31,1,6.410030000000006
0,2025-02-03,1,3.0400399999998626
0,2025-02-04,0,-1.0
0,2025-02-05,1,29.179930000000013
0,2025-02-06,1,7.899910000000091
0,2025-02-07,0,-1.0
0,2025-02-10,1,22.62999999999988
0,2025-02-11,1,3.9500699999998687
0,2025-02-12,1,3.8499799999999595
0,2025-02-13,1,12.800050000000056
0,2025-02-14,1,17.260009999999966
0,2025-02-18,0,-1.0
0,2025-02-19,0,-1.0
0,2025-02-20,0,-1.0
0,2025-02-21,1,14.240109999999959
0,2025-02-24,1,46.25
0,2025-02-25,1,0.4500700000000961
0,2025-02-26,1,8.270019999999931
0,2025-02-27,0,-1.0
0,2025-02-28,1,12.40002000000004
0,2025-03-03,1,37.17003999999997
0,2025-03-04,0,-1.0
0,2025-03-05,1,31.239990000000034
0,2025-03-06,1,17.290030000000115
0,2025-03-07,1,19.040039999999863
0,2025-03-10,1,24.839969999999994
0,2025-03-11,0,-1.0
0,2025-03-12,1,2.169930000000022
0,2025-03-13,0,-1.0
0,2025-03-14,1,19.969969999999876
0,2025-03-17,1,2.7799099999999726
0,2025-03-18,1,10.760009999999966
0,2025-03-19,1,6.530030000000124
0,2025-03-20,1,12.770019999999931
0,2025-03-21,1,31.5
0,2025-03-24,1,12.010009999999966
0,2025-03-25,0,-1.0
0,2025-03-26,0,-1.0
0,2025-03-27,0,-1.0
0,2025-03-28,1,10.689939999999979
0,2025-03-31,1,17.55004999999983
0,2025-04-01,1,12.5
0,2025-04-02,1,59.589969999999994
0,2025-04-03,0,-1.0
0,2025-04-04,1,45.960019999999986
0,2025-04-07,0,-1.0
0,2025-04-08,0,-1.0
0,2025-04-09,1,32.359989999999925
0,2025-04-10,1,14.28003000000001
0,2025-04-11,0,-1.0
0,2025-04-14,0,-1.0
0,2025-04-15,0,-1.0
0,2025-04-16,1,28.269900000000007
