,date,accuracy,potential
0,2024-11-08,1,154.0507800000014
0,2024-11-11,0,-1.0
0,2024-11-12,0,-1.0
0,2024-11-13,1,19.951170000000275
0,2024-11-14,1,91.45117000000027
0,2024-11-18,1,349.4003900000025
0,2024-11-19,1,68.45117000000027
0,2024-11-21,1,149.8007800000014
0,2024-11-22,1,393.3496099999975
0,2024-11-25,0,-1.0
0,2024-11-26,1,29.048829999999725
0,2024-11-27,1,21.449219999998604
0,2024-11-28,1,69.25
0,2024-11-29,1,27.048829999999725
0,2024-12-02,0,-1.0
0,2024-12-03,0,-1.0
0,2024-12-04,1,37.65038999999888
0,2024-12-05,1,41.69922000000224
0,2024-12-06,0,-1.0
0,2024-12-09,1,29.5
0,2024-12-10,1,7.701170000000275
0,2024-12-11,1,31.599609999997483
0,2024-12-12,1,339.4003900000025
0,2024-12-13,0,-1.0
0,2024-12-16,1,39.699219999998604
0,2024-12-17,1,87.09961000000112
0,2024-12-18,1,372.4511700000003
0,2024-12-19,1,110.4492199999986
0,2024-12-20,1,117.9492199999986
0,2024-12-23,1,88.89843999999721
0,2024-12-24,1,91.6992199999986
0,2024-12-26,0,-1.0
0,2024-12-27,1,82.9492199999986
0,2024-12-30,1,178.70117000000027
0,2024-12-31,1,51.19922000000224
0,2025-01-01,1,15.351560000002792
0,2025-01-02,1,9.050780000001396
0,2025-01-03,1,257.25
0,2025-01-06,1,246.90038999999888
0,2025-01-07,1,289.0996099999975
0,2025-01-08,1,47.90039000000252
0,2025-01-09,1,409.3007800000014
0,2025-01-10,1,342.5996100000011
0,2025-01-13,0,-1.0
0,2025-01-14,1,118.95117000000027
0,2025-01-15,0,-1.0
0,2025-01-16,1,104.4492199999986
0,2025-01-17,1,62.09961000000112
0,2025-01-20,1,48.34961000000112
0,2025-01-21,1,339.75
0,2025-01-22,0,-1.0
0,2025-01-23,1,262.7011700000003
0,2025-01-24,1,577.2988299999997
0,2025-01-27,1,349.5996099999975
0,2025-01-28,1,378.1503899999989
0,2025-01-29,0,-1.0
0,2025-01-30,1,207.1992199999986
0,2025-01-31,0,-1.0
0,2025-02-01,1,312.3496099999975
0,2025-02-03,0,-1.0
0,2025-02-04,0,-1.0
0,2025-02-05,1,94.75
0,2025-02-06,1,17.39843999999721
0,2025-02-07,1,304.9511700000003
0,2025-02-10,1,430.1992199999986
0,2025-02-11,1,539.75
0,2025-02-12,1,44.75
0,2025-02-13,1,352.6503899999989
0,2025-02-14,1,374.3515600000028
0,2025-02-17,1,228.40038999999888
0,2025-02-18,1,141.65039000000252
0,2025-02-19,1,120.79882999999973
0,2025-02-20,1,223.5
0,2025-02-21,1,294.94922000000224
0,2025-02-24,1,87.0
0,2025-02-25,1,144.84960999999748
0,2025-02-27,0,-1.0
0,2025-02-28,1,326.2988299999997
0,2025-03-03,1,308.9003899999989
0,2025-03-04,0,-1.0
0,2025-03-05,0,-1.0
0,2025-03-06,1,129.6992199999986
0,2025-03-07,1,112.25
0,2025-03-10,1,172.20117000000027
0,2025-03-11,1,178.9492199999986
0,2025-03-12,1,72.84960999999748
0,2025-03-13,0,-1.0
0,2025-03-17,0,-1.0
0,2025-03-18,0,-1.0
0,2025-03-19,1,173.0
0,2025-03-20,0,-1.0
0,2025-03-21,0,-1.0
0,2025-03-24,1,109.75
0,2025-03-25,1,171.3984399999972
0,2025-03-26,1,117.54882999999973
0,2025-03-27,0,-1.0
0,2025-03-28,1,77.45117000000027
0,2025-04-01,1,125.5
0,2025-04-02,1,133.75
0,2025-04-03,1,590.3496100000011
0,2025-04-04,1,1045.1992199999986
0,2025-04-07,1,390.5507800000014
0,2025-04-08,0,-1.0
0,2025-04-09,0,-1.0
0,2025-04-11,1,416.5996100000011
0,2025-04-15,0,-1.0
0,2025-04-16,1,75.45117000000027
