,date,accuracy,potential
0,2024-11-08,1,166.72265999999945
0,2024-11-11,0,-1.0
0,2024-11-12,1,400.98045999999886
0,2024-11-13,1,200.04297000000224
0,2024-11-14,1,81.49219000000448
0,2024-11-18,1,478.1562399999966
0,2024-11-19,0,-1.0
0,2024-11-21,0,-1.0
0,2024-11-22,0,-1.0
0,2024-11-25,1,80.49219000000448
0,2024-11-26,1,43.03125
0,2024-11-27,1,182.65234000000055
0,2024-11-28,1,15.320310000002792
0,2024-11-29,1,111.91015999999945
0,2024-12-02,0,-1.0
0,2024-12-03,1,212.03125
0,2024-12-04,1,103.01952999999776
0,2024-12-05,1,71.60936999999831
0,2024-12-06,1,96.89063000000169
0,2024-12-09,1,73.83984000000055
0,2024-12-10,1,23.011719999994966
0,2024-12-11,1,45.95702999999776
0,2024-12-12,1,549.0429700000022
0,2024-12-13,1,69.21093999999721
0,2024-12-16,1,251.51952999999776
0,2024-12-17,1,149.73047000000224
0,2024-12-18,1,527.25
0,2024-12-19,1,206.9296899999972
0,2024-12-20,1,7.46875
0,2024-12-23,1,172.87890999999945
0,2024-12-24,1,147.19920999999886
0,2024-12-26,0,-1.0
0,2024-12-27,1,31.152350000003935
0,2024-12-30,0,-1.0
0,2024-12-31,1,47.871100000003935
0,2025-01-01,1,126.91015999999945
0,2025-01-02,1,78.64844000000448
0,2025-01-03,1,315.26953000000503
0,2025-01-06,1,303.6484300000011
0,2025-01-07,1,295.8906199999983
0,2025-01-08,1,122.17188000000169
0,2025-01-09,1,494.73045999999886
0,2025-01-10,0,-1.0
0,2025-01-13,0,-1.0
0,2025-01-14,1,122.37110000000393
0,2025-01-15,0,-1.0
0,2025-01-16,1,202.78125
0,2025-01-17,1,69.89062000000558
0,2025-01-20,1,360.0390699999989
0,2025-01-21,1,224.6796800000011
0,2025-01-22,1,76.3125
0,2025-01-23,1,271.9765599999955
0,2025-01-24,0,-1.0
0,2025-01-27,1,165.8593699999983
0,2025-01-28,1,348.73827999999776
0,2025-01-29,1,0.5117200000022422
0,2025-01-30,1,225.38670999999886
0,2025-01-31,1,34.51952999999776
0,2025-02-01,1,440.76954000000114
0,2025-02-03,1,357.12890999999945
0,2025-02-04,0,-1.0
0,2025-02-05,1,59.82031000000279
0,2025-02-06,0,-1.0
0,2025-02-07,1,384.5703199999989
0,2025-02-10,1,388.9375
0,2025-02-11,1,600.4902399999955
0,2025-02-12,1,273.77734000000055
0,2025-02-13,1,331.60937000000195
0,2025-02-14,1,404.7089799999994
0,2025-02-17,1,290.94922000000224
0,2025-02-18,1,167.66991999999664
0,2025-02-19,1,76.54883000000336
0,2025-02-20,1,266.0488299999997
0,2025-02-21,0,-1.0
0,2025-02-24,1,131.79882999999973
0,2025-02-25,1,78.13868000000002
0,2025-02-27,1,534.6191500000023
0,2025-02-28,1,310.1699200000003
0,2025-03-03,1,42.46093999999721
0,2025-03-04,0,-1.0
0,2025-03-05,0,-1.0
0,2025-03-06,1,58.919920000000275
0,2025-03-07,1,169.8007800000014
0,2025-03-10,0,-1.0
0,2025-03-11,1,184.16992000000027
0,2025-03-12,1,148.1093800000017
0,2025-03-13,0,-1.0
0,2025-03-17,0,-1.0
0,2025-03-18,0,-1.0
0,2025-03-19,1,272.44139999999607
0,2025-03-20,1,5.507819999998901
0,2025-03-21,0,-1.0
0,2025-03-24,1,97.75
0,2025-03-25,1,25.761720000002242
0,2025-03-26,1,84.97265999999945
0,2025-03-27,1,32.96875
0,2025-03-28,1,230.40235000000393
0,2025-04-01,1,106.13281000000279
0,2025-04-02,1,167.9218699999983
0,2025-04-03,1,663.9609400000008
0,2025-04-04,1,1643.3808600000011
0,2025-04-07,0,-1.0
0,2025-04-08,1,351.0410200000006
0,2025-04-09,0,-1.0
0,2025-04-11,1,691.9003899999989
0,2025-04-15,1,56.273440000004484
0,2025-04-16,1,42.07811999999831
