,date,accuracy,potential
0,2024-11-14,1,29.330079999999725
0,2024-11-15,1,67.34961000000112
0,2024-11-18,1,57.110349999999016
0,2024-11-19,0,-1.0
0,2024-11-20,1,228.0996099999993
0,2024-11-21,1,40.12012000000141
0,2024-11-22,1,106.77050999999847
0,2024-11-25,1,144.240240000001
0,2024-11-26,1,16.089850000000297
0,2024-11-27,1,56.71973000000071
0,2024-11-28,1,26.0
0,2024-11-29,0,-1.0
0,2024-12-02,1,589.9795000000013
0,2024-12-03,1,31.360349999999016
0,2024-12-04,0,-1.0
0,2024-12-05,1,526.7900399999999
0,2024-12-06,1,118.4101499999997
0,2024-12-09,1,69.81934000000001
0,2024-12-10,1,164.0
0,2024-12-11,1,95.12010999999984
0,2024-12-12,0,-1.0
0,2024-12-13,1,55.37012000000141
0,2024-12-16,1,104.03026999999929
0,2024-12-17,1,53.06934000000001
0,2024-12-18,0,-1.0
0,2024-12-19,1,46.54003999999986
0,2024-12-20,0,-1.0
0,2024-12-23,1,135.56053999999858
0,2024-12-24,1,548.2001899999996
0,2024-12-25,0,-1.0
0,2024-12-26,1,150.97949000000153
0,2024-12-27,1,11.099609999999302
0,2024-12-30,1,10.919930000000022
0,2024-12-31,1,391.8496099999993
0,2025-01-02,1,217.2705100000003
0,2025-01-03,1,1.0
0,2025-01-06,1,44.02049999999872
0,2025-01-07,1,149.69042999999874
0,2025-01-08,1,5.740239999999176
0,2025-01-09,1,40.480469999998604
0,2025-01-10,1,80.88965000000098
0,2025-01-13,1,275.2001999999993
0,2025-01-14,1,25.25977000000057
0,2025-01-15,1,246.10059
0,2025-01-16,0,-1.0
0,2025-01-17,1,174.33007999999973
0,2025-01-20,1,300.0996099999993
0,2025-01-21,0,-1.0
0,2025-01-22,1,58.12012000000141
0,2025-01-23,1,215.1298800000004
0,2025-01-24,1,233.00976999999875
0,2025-01-27,0,-1.0
0,2025-01-28,1,52.68944999999985
0,2025-01-29,1,181.3701200000014
0,2025-01-30,0,-1.0
0,2025-01-31,1,743.5400399999999
0,2025-02-03,1,9.55956999999944
0,2025-02-04,1,140.91016000000127
0,2025-02-05,1,124.78027999999904
0,2025-02-06,0,-1.0
0,2025-02-07,1,22.089850000000297
0,2025-02-10,1,116.04003999999986
0,2025-02-11,1,109.67969000000085
0,2025-02-12,1,357.54003999999986
0,2025-02-13,1,100.13964999999916
0,2025-02-14,1,71.74023000000125
0,2025-02-17,1,89.62988000000041
0,2025-02-18,1,51.259759999999005
0,2025-02-19,1,227.9296800000011
0,2025-02-20,1,152.22069999999985
0,2025-02-21,1,175.4794899999997
0,2025-02-24,1,13.040039999999863
0,2025-02-25,1,58.110350000000835
0,2025-02-26,1,92.52051000000029
0,2025-02-27,1,147.5
0,2025-02-28,1,817.8593799999999
0,2025-03-03,1,108.27051000000029
0,2025-03-04,1,353.94043000000056
0,2025-03-05,1,142.69042999999874
0,2025-03-06,1,21.37010999999984
0,2025-03-07,1,74.36034999999902
0,2025-03-10,1,209.62109000000055
0,2025-03-11,1,269.8300799999997
0,2025-03-12,1,122.14062999999805
0,2025-03-13,1,27.40038999999888
0,2025-03-14,0,-1.0
0,2025-03-17,1,167.15038999999888
0,2025-03-18,0,-1.0
0,2025-03-19,1,11.919920000000275
0,2025-03-20,1,1312.179689999999
0,2025-03-21,0,-1.0
0,2025-03-24,1,431.8398500000003
0,2025-03-25,1,336.99023000000125
0,2025-03-26,1,86.22069999999985
0,2025-03-27,1,352.30956999999944
0,2025-03-28,1,157.9794899999997
0,2025-04-02,0,-1.0
0,2025-04-03,1,95.41015999999945
0,2025-04-04,1,485.43944999999985
0,2025-04-07,1,289.7705100000003
0,2025-04-08,1,173.08984999999848
0,2025-04-09,0,-1.0
0,2025-04-10,1,309.14941
0,2025-04-11,0,-1.0
0,2025-04-14,1,52.5
0,2025-04-15,1,210.8203199999989
0,2025-04-16,0,-1.0
