,date,accuracy,potential
0,2024-11-07,0,-1
0,2024-11-08,0,-1
0,2024-11-11,1,111.72998000000007
0,2024-11-12,1,213.52001999999993
0,2024-11-13,0,-1
0,2024-11-14,1,173.1899400000002
0,2024-11-15,1,106.60985999999957
0,2024-11-18,0,-1
0,2024-11-19,1,57.89013999999952
0,2024-11-20,0,-1
0,2024-11-21,1,121.08007999999973
0,2024-11-22,0,-1
0,2024-11-25,1,101.35985999999957
0,2024-11-26,1,24.389649999999165
0,2024-11-27,0,-1
0,2024-11-28,1,99.11036000000058
0,2024-11-29,1,105.33008000000063
0,2024-12-02,1,148.64013000000068
0,2024-12-03,1,214.0498000000007
0,2024-12-04,1,52.93018000000029
0,2024-12-05,0,-1
0,2024-12-06,1,272.7099699999999
0,2024-12-09,1,305.64989999999943
0,2024-12-10,1,90.38963999999942
0,2024-12-11,1,176.99024000000009
0,2024-12-12,1,19.310059999999794
0,2024-12-13,1,73.20996999999988
0,2024-12-16,1,16.599609999999302
0,2024-12-17,1,89.9702100000004
0,2024-12-18,1,198.45996000000014
0,2024-12-19,1,114.39990999999918
0,2024-12-20,0,-1
0,2024-12-23,1,18.97998000000007
0,2024-12-24,1,9.560059999999794
0,2024-12-26,1,51.49023000000034
0,2024-12-27,1,23.090329999999994
0,2024-12-30,1,109.02002000000084
0,2025-01-02,0,-1
0,2025-01-03,1,26.84034000000065
0,2025-01-06,0,-1
0,2025-01-07,1,90.54003999999986
0,2025-01-08,1,102.67968999999994
0,2025-01-09,1,75.95996000000014
0,2025-01-10,1,52.41993000000002
0,2025-01-13,1,10.680180000000291
0,2025-01-14,1,48.22021000000041
0,2025-01-15,0,-1
0,2025-01-16,1,94.00976999999966
0,2025-01-17,1,25.560050000000047
0,2025-01-20,1,31.299800000000687
0,2025-01-21,0,-1
0,2025-01-22,1,16.370120000000497
0,2025-01-23,1,20.93018000000029
0,2025-01-24,0,-1
0,2025-01-31,0,-1
0,2025-02-03,1,265.4296800000002
0,2025-02-04,0,-1
0,2025-02-05,1,143.96044000000074
0,2025-02-06,1,50.759759999999915
0,2025-02-07,1,19.040039999999863
0,2025-02-10,1,1.6801800000002913
0,2025-02-11,1,115.39989999999943
0,2025-02-12,1,35.060059999999794
0,2025-02-13,0,-1
0,2025-02-14,1,40.960440000000744
0,2025-02-17,1,48.75
0,2025-02-18,1,98.70996999999988
0,2025-02-19,1,137.64014000000043
0,2025-02-20,1,72.39013000000068
0,2025-02-21,1,137.3798800000004
0,2025-02-24,1,60.709969999999885
0,2025-02-25,1,24.180179999999382
0,2025-02-26,1,22.89013000000068
0,2025-02-27,1,189.6201199999996
0,2025-02-28,1,73.57032000000072
0,2025-03-04,0,-1
0,2025-03-05,1,180.1801800000003
0,2025-03-06,1,81.14013000000068
0,2025-03-07,1,45.33984999999939
0,2025-03-10,1,150.27977999999985
0,2025-03-11,0,-1
0,2025-03-12,0,-1
0,2025-03-13,1,155.41016000000036
0,2025-03-14,1,46.70996000000014
0,2025-03-17,1,8.270019999999931
0,2025-03-18,1,124.8496099999993
0,2025-03-19,1,62.18017999999938
0,2025-03-20,1,24.369629999999233
0,2025-03-21,1,0.47021999999924446
0,2025-03-24,1,31.040039999999863
0,2025-03-25,1,12.680180000000291
0,2025-03-26,1,66.5996099999993
0,2025-03-27,1,68.85010000000057
0,2025-03-28,1,71.03027999999995
0,2025-03-31,1,140.6298799999995
0,2025-04-01,1,26.62988999999925
0,2025-04-02,1,28.569820000000618
0,2025-04-03,1,72.41015000000061
0,2025-04-04,0,-1
0,2025-04-07,1,143.9399400000002
0,2025-04-08,1,66.8100599999998
0,2025-04-09,0,-1
0,2025-04-10,1,89.08007999999973
0,2025-04-11,0,-1
0,2025-04-14,1,93.60986000000048
0,2025-04-15,1,54.08984999999939
0,2025-04-16,0,-1
