,date,accuracy,potential
0,2024-11-11,1,26.619990000000143
0,2024-11-12,0,-1.0
0,2024-11-13,1,6.839960000000019
0,2024-11-14,1,18.200070000000096
0,2024-11-15,1,4.959969999999885
0,2024-11-18,1,23.24010999999996
0,2024-11-19,1,15.319950000000063
0,2024-11-20,0,-1.0
0,2024-11-21,1,12.959960000000137
0,2024-11-22,0,-1.0
0,2024-11-25,1,24.8598599999998
0,2024-11-26,1,9.999879999999848
0,2024-11-27,1,20.179929999999786
0,2024-11-29,1,16.620120000000043
0,2024-12-02,1,3.1800499999999374
0,2024-12-03,1,6.729980000000069
0,2024-12-04,1,13.579960000000028
0,2024-12-05,0,-1.0
0,2024-12-06,0,-1.0
0,2024-12-09,1,32.760009999999966
0,2024-12-10,0,-1.0
0,2024-12-11,1,8.630009999999857
0,2024-12-12,1,3.319949999999835
0,2024-12-13,1,5.920039999999972
0,2024-12-16,1,25.709969999999885
0,2024-12-17,0,-1.0
0,2024-12-18,1,11.340079999999944
0,2024-12-19,1,8.770020000000159
0,2024-12-20,1,16.689949999999953
0,2024-12-23,1,1.4899900000000343
0,2024-12-24,0,-1.0
0,2024-12-26,0,-1.0
0,2024-12-27,1,36.71997999999985
0,2024-12-30,1,1.2200900000000274
0,2024-12-31,1,0.11998999999991611
0,2025-01-02,0,-1.0
0,2025-01-03,0,-1.0
0,2025-01-06,1,29.45995999999991
0,2025-01-07,1,17.450070000000096
0,2025-01-08,0,-1.0
0,2025-01-10,1,22.280030000000124
0,2025-01-13,1,35.82006000000001
0,2025-01-14,1,46.39002000000005
0,2025-01-15,1,1.639889999999923
0,2025-01-16,0,-1.0
0,2025-01-17,0,-1.0
0,2025-01-21,1,5.29004000000009
0,2025-01-22,1,0.43994999999995343
0,2025-01-23,1,0.6999599999999191
0,2025-01-24,1,90.7301
0,2025-01-27,1,12.660030000000006
0,2025-01-28,1,6.369999999999891
0,2025-01-29,0,-1.0
0,2025-01-30,1,13.150030000000015
0,2025-01-31,1,51.510009999999966
0,2025-02-03,1,1.4200399999999718
0,2025-02-04,1,31.340079999999944
0,2025-02-05,1,17.26000000000022
0,2025-02-06,1,22.130009999999857
0,2025-02-07,1,12.840090000000146
0,2025-02-10,1,13.859989999999925
0,2025-02-11,1,54.930050000000165
0,2025-02-12,1,0.2699000000000069
0,2025-02-13,0,-1.0
0,2025-02-14,1,12.910030000000006
0,2025-02-18,1,25.529909999999973
0,2025-02-19,1,33.239990000000034
0,2025-02-20,1,17.35010000000011
0,2025-02-21,1,22.739990000000034
0,2025-02-24,1,19.630009999999857
0,2025-02-25,0,-1.0
0,2025-02-26,1,15.199959999999919
0,2025-02-27,1,3.9799800000000687
0,2025-02-28,1,11.530030000000124
0,2025-03-03,1,62.96997999999985
0,2025-03-04,0,-1.0
0,2025-03-05,1,32.82996000000003
0,2025-03-06,1,26.570060000000012
0,2025-03-07,0,-1.0
0,2025-03-10,1,21.369990000000143
0,2025-03-11,0,-1.0
0,2025-03-12,1,16.330069999999978
0,2025-03-13,0,-1.0
0,2025-03-14,1,7.010009999999966
0,2025-03-17,0,-1.0
0,2025-03-18,1,0.7399900000000343
0,2025-03-19,1,17.90002000000004
0,2025-03-20,1,37.4699700000001
0,2025-03-21,0,-1.0
0,2025-03-24,1,10.589969999999994
0,2025-03-25,1,3.079959999999801
0,2025-03-26,1,22.910030000000006
0,2025-03-27,1,40.8099400000001
0,2025-03-28,1,36.81995000000006
0,2025-03-31,1,7.920040000000199
0,2025-04-01,1,19.580079999999953
0,2025-04-02,1,102.66003999999998
0,2025-04-03,1,96.73999000000003
0,2025-04-04,1,74.06005000000005
0,2025-04-07,1,48.300050000000056
0,2025-04-08,1,17.40002000000004
0,2025-04-09,1,55.06995000000006
0,2025-04-10,1,18.640010000000075
0,2025-04-11,0,-1.0
0,2025-04-14,1,14.479980000000069
0,2025-04-15,1,23.86999999999989
0,2025-04-16,1,4.660030000000006
