,date,accuracy,potential
0,2024-11-14,1,8.120120000000043
0,2024-11-15,0,-1.0
0,2024-11-18,1,29.830079999999725
0,2024-11-19,1,3.0100099999999657
0,2024-11-20,1,22.790039999999863
0,2024-11-21,1,7.09985000000006
0,2024-11-22,1,33.939940000000206
0,2024-11-25,1,40.489990000000034
0,2024-11-26,1,10.869869999999992
0,2024-11-27,1,4.969970000000103
0,2024-11-28,1,0.6501499999999396
0,2024-11-29,0,-1.0
0,2024-12-02,0,-1.0
0,2024-12-03,1,17.65014999999994
0,2024-12-04,1,0.18994000000020606
0,2024-12-05,1,5.110110000000077
0,2024-12-06,1,25.94995000000017
0,2024-12-09,1,9.829829999999674
0,2024-12-10,1,6.0
0,2024-12-11,1,1.5798299999996743
0,2024-12-12,1,7.559809999999743
0,2024-12-13,1,9.16991999999982
0,2024-12-16,1,13.300049999999828
0,2024-12-17,0,-1.0
0,2024-12-18,1,62.640139999999974
0,2024-12-19,1,36.2800299999999
0,2024-12-20,0,-1.0
0,2024-12-23,1,3.1799299999997857
0,2024-12-24,1,21.890139999999974
0,2024-12-27,1,1.9699699999996483
0,2024-12-30,1,12.760009999999966
0,2024-12-31,1,9.510009999999966
0,2025-01-02,1,7.069819999999709
0,2025-01-03,1,21.809809999999743
0,2025-01-06,1,1.6501500000003944
0,2025-01-07,1,2.66991999999982
0,2025-01-08,1,4.449950000000172
0,2025-01-09,1,11.899899999999889
0,2025-01-10,1,63.7800299999999
0,2025-01-13,0,-1.0
0,2025-01-14,0,-1.0
0,2025-01-15,1,11.420170000000326
0,2025-01-16,0,-1.0
0,2025-01-17,1,10.739990000000034
0,2025-01-20,1,11.570070000000214
0,2025-01-21,1,0.05980999999974301
0,2025-01-22,1,0.5100099999999657
0,2025-01-23,0,-1.0
0,2025-01-24,1,46.30980999999974
0,2025-01-27,1,21.709960000000137
0,2025-01-28,1,13.48998999999958
0,2025-01-29,0,-1.0
0,2025-01-30,1,3.2600099999999657
0,2025-01-31,1,85.12012000000004
0,2025-02-03,1,6.190190000000257
0,2025-02-04,1,17.65991000000031
0,2025-02-05,1,1.969970000000103
0,2025-02-06,1,15.0
0,2025-02-07,1,10.600099999999657
0,2025-02-10,1,10.610109999999622
0,2025-02-11,1,9.32006999999976
0,2025-02-12,0,-1.0
0,2025-02-13,1,37.020020000000386
0,2025-02-14,0,-1.0
0,2025-02-17,1,7.600099999999657
0,2025-02-18,1,16.790039999999863
0,2025-02-19,0,-1.0
0,2025-02-20,1,3.779779999999846
0,2025-02-21,1,16.46996999999965
0,2025-02-24,0,-1.0
0,2025-02-25,0,-1.0
0,2025-02-26,0,-1.0
0,2025-02-27,1,18.239990000000034
0,2025-02-28,1,3.4699699999996483
0,2025-03-03,0,-1.0
0,2025-03-04,1,112.15014999999994
0,2025-03-05,1,36.64989999999989
0,2025-03-06,1,39.909909999999854
0,2025-03-07,1,52.20996000000014
0,2025-03-10,1,5.409909999999854
0,2025-03-11,0,-1.0
0,2025-03-12,0,-1.0
0,2025-03-13,1,24.610110000000077
0,2025-03-14,1,11.25
0,2025-03-17,0,-1.0
0,2025-03-18,0,-1.0
0,2025-03-19,1,16.549799999999777
0,2025-03-20,1,33.189940000000206
0,2025-03-21,1,19.219970000000103
0,2025-03-24,1,8.829829999999674
0,2025-03-25,1,7.329830000000129
0,2025-03-26,1,37.16016000000036
0,2025-03-27,0,-1.0
0,2025-03-28,1,58.239990000000034
0,2025-03-31,0,-1.0
0,2025-04-01,1,9.760009999999966
0,2025-04-02,1,63.7199700000001
0,2025-04-03,1,57.81006000000025
0,2025-04-04,1,161.9101599999999
0,2025-04-07,0,-1.0
0,2025-04-08,1,78.93993999999975
0,2025-04-09,1,228.73998999999958
0,2025-04-10,1,18.67993000000024
0,2025-04-11,0,-1.0
0,2025-04-14,1,25.65014999999994
0,2025-04-15,0,-1.0
0,2025-04-16,0,-1.0
