,date,accuracy,potential
0,2024-11-11,1,1.8998999999998887
0,2024-11-12,1,30.959960000000137
0,2024-11-13,1,12.34985000000006
0,2024-11-14,1,54.75
0,2024-11-15,1,25.170170000000326
0,2024-11-18,1,17.120120000000043
0,2024-11-19,1,46.59008999999969
0,2024-11-20,1,12.760009999999966
0,2024-11-21,1,28.52001999999993
0,2024-11-22,0,-1.0
0,2024-11-25,0,-1.0
0,2024-11-26,1,13.0
0,2024-11-27,0,-1.0
0,2024-11-29,1,26.61986999999999
0,2024-12-02,1,5.520019999999931
0,2024-12-03,0,-1.0
0,2024-12-04,1,5.829829999999674
0,2024-12-05,0,-1.0
0,2024-12-06,1,15.540039999999863
0,2024-12-09,1,7.290040000000317
0,2024-12-10,0,-1.0
0,2024-12-11,1,21.25
0,2024-12-12,1,16.320070000000214
0,2024-12-13,0,-1.0
0,2024-12-16,0,-1.0
0,2024-12-17,1,14.090090000000146
0,2024-12-18,0,-1.0
0,2024-12-19,1,31.239990000000034
0,2024-12-20,1,30.53003000000035
0,2024-12-23,0,-1.0
0,2024-12-24,0,-1.0
0,2024-12-26,1,56.4699700000001
0,2024-12-27,1,60.739990000000034
0,2024-12-30,1,7.279779999999846
0,2024-12-31,1,43.489990000000034
0,2025-01-02,0,-1.0
0,2025-01-03,0,-1.0
0,2025-01-06,1,6.770020000000386
0,2025-01-07,1,13.840090000000146
0,2025-01-08,0,-1.0
0,2025-01-10,1,24.47998000000007
0,2025-01-13,1,1.359860000000026
0,2025-01-14,1,57.919920000000275
0,2025-01-15,1,7.959960000000137
0,2025-01-16,0,-1.0
0,2025-01-17,0,-1.0
0,2025-01-21,1,48.859860000000026
0,2025-01-22,1,18.590090000000146
0,2025-01-23,1,6.209960000000137
0,2025-01-24,1,42.659909999999854
0,2025-01-27,1,24.919920000000275
0,2025-01-28,1,7.58983999999964
0,2025-01-29,1,9.610109999999622
0,2025-01-30,0,-1.0
0,2025-01-31,1,47.75
0,2025-02-03,1,39.08008000000018
0,2025-02-04,1,31.5
0,2025-02-05,1,20.40014999999994
0,2025-02-06,1,74.48999000000003
0,2025-02-07,1,39.90991000000031
0,2025-02-10,1,20.02001999999993
0,2025-02-11,0,-1.0
0,2025-02-12,1,2.059809999999743
0,2025-02-13,1,17.989990000000034
0,2025-02-14,1,37.339840000000095
0,2025-02-18,1,24.929929999999786
0,2025-02-19,1,66.60010000000011
0,2025-02-20,0,-1.0
0,2025-02-21,1,0.83008000000018
0,2025-02-24,1,27.239990000000034
0,2025-02-25,0,-1.0
0,2025-02-26,1,19.390139999999974
0,2025-02-27,0,-1.0
0,2025-02-28,1,20.10985999999957
0,2025-03-03,0,-1.0
0,2025-03-04,1,2.4399399999997513
0,2025-03-05,1,51.77001999999993
0,2025-03-06,1,70.5300299999999
0,2025-03-07,1,65.30005000000028
0,2025-03-10,1,8.66991999999982
0,2025-03-11,1,20.739990000000034
0,2025-03-12,1,50.920170000000326
0,2025-03-13,1,40.84985000000006
0,2025-03-14,0,-1.0
0,2025-03-17,0,-1.0
0,2025-03-18,1,4.199950000000172
0,2025-03-19,1,23.709960000000137
0,2025-03-20,1,31.27001999999993
0,2025-03-21,0,-1.0
0,2025-03-24,0,-1.0
0,2025-03-25,1,5.0
0,2025-03-26,1,12.489990000000034
0,2025-03-27,1,69.88988999999992
0,2025-03-28,0,-1.0
0,2025-03-31,1,18.200200000000223
0,2025-04-01,1,30.42993000000024
0,2025-04-02,0,-1.0
0,2025-04-03,1,88.40014999999994
0,2025-04-04,1,102.0300299999999
0,2025-04-07,1,104.43993999999975
0,2025-04-08,1,7.920169999999871
0,2025-04-09,1,60.089840000000095
0,2025-04-10,1,13.25
0,2025-04-11,0,-1.0
0,2025-04-14,1,4.399899999999889
0,2025-04-15,1,38.91016000000036
0,2025-04-16,1,27.28003000000035
