,date,accuracy,potential
0,2024-11-11,1,139.6015600000028
0,2024-11-12,1,46.60938000000169
0,2024-11-13,1,86.66015000000334
0,2024-11-14,1,316.55078000000503
0,2024-11-15,1,142.48047000000224
0,2024-11-18,1,393.1796899999972
0,2024-11-19,1,166.19140999999945
0,2024-11-20,1,35.64843999999721
0,2024-11-21,1,318.38671999999497
0,2024-11-22,0,-1.0
0,2024-11-25,1,297.96875
0,2024-11-26,1,15.011720000002242
0,2024-11-27,1,164.96875
0,2024-11-29,1,236.23827999999776
0,2024-12-02,1,42.53906000000279
0,2024-12-03,0,-1.0
0,2024-12-04,1,148.08203000000503
0,2024-12-05,1,129.5468699999983
0,2024-12-06,1,114.97265999999945
0,2024-12-09,1,195.62109000000055
0,2024-12-10,1,55.17968999999721
0,2024-12-11,1,98.5703199999989
0,2024-12-12,1,93.46875
0,2024-12-13,1,105.32811999999831
0,2024-12-16,1,289.5
0,2024-12-17,1,210.80078000000503
0,2024-12-18,0,-1.0
0,2024-12-19,1,84.47265999999945
0,2024-12-20,1,284.6718699999983
0,2024-12-23,1,45.1875
0,2024-12-24,1,142.83204000000114
0,2024-12-26,1,438.8593699999983
0,2024-12-27,1,731.0117200000022
0,2024-12-30,1,57.50781000000279
0,2024-12-31,1,26.78906000000279
0,2025-01-02,0,-1.0
0,2025-01-03,0,-1.0
0,2025-01-06,1,64.58984000000055
0,2025-01-07,1,9.890620000005583
0,2025-01-08,1,626.3203199999989
0,2025-01-10,1,73.30859000000055
0,2025-01-13,0,-1.0
0,2025-01-14,1,762.6718800000017
0,2025-01-15,1,129.03125
0,2025-01-16,0,-1.0
0,2025-01-17,0,-1.0
0,2025-01-21,0,-1.0
0,2025-01-22,1,30.019530000005034
0,2025-01-23,1,139.1015699999989
0,2025-01-24,0,-1.0
0,2025-01-27,1,44.23827999999776
0,2025-01-28,1,34.37890999999945
0,2025-01-29,1,195.01952999999776
0,2025-01-30,1,191.80079000000114
0,2025-01-31,1,650.9218800000017
0,2025-02-03,1,96.60936999999831
0,2025-02-04,1,153.02734999999666
0,2025-02-05,1,125.39063000000169
0,2025-02-06,1,283.1796899999972
0,2025-02-07,0,-1.0
0,2025-02-10,1,140.41015999999945
0,2025-02-11,1,455.5703100000028
0,2025-02-12,1,133.04297000000224
0,2025-02-13,1,99.41014999999607
0,2025-02-14,1,32.35938000000169
0,2025-02-18,1,170.94140999999945
0,2025-02-19,1,556.0703199999989
0,2025-02-20,0,-1.0
0,2025-02-21,1,41.08984000000055
0,2025-02-24,1,138.4921899999972
0,2025-02-25,1,77.39843999999721
0,2025-02-26,0,-1.0
0,2025-02-27,0,-1.0
0,2025-02-28,1,36.26172000000224
0,2025-03-03,1,738.5585900000005
0,2025-03-04,1,2.4609399999972084
0,2025-03-05,1,583.8007799999978
0,2025-03-06,1,231.96875
0,2025-03-07,1,508.25
0,2025-03-10,1,597.21875
0,2025-03-11,1,389.66015000000334
0,2025-03-12,1,228.57812999999442
0,2025-03-13,0,-1.0
0,2025-03-14,1,56.96093999999721
0,2025-03-17,0,-1.0
0,2025-03-18,0,-1.0
0,2025-03-19,1,244.94922000000224
0,2025-03-20,1,499.83202999999776
0,2025-03-21,0,-1.0
0,2025-03-24,1,101.1875
0,2025-03-25,0,-1.0
0,2025-03-26,1,61.12109000000055
0,2025-03-27,1,633.7773400000005
0,2025-03-28,1,436.80859000000055
0,2025-03-31,1,502.0078099999955
0,2025-04-01,1,270.0781199999983
0,2025-04-02,1,1649.2109399999972
0,2025-04-03,1,1657.9414099999995
0,2025-04-04,1,1569.1796900000045
0,2025-04-07,0,-1.0
0,2025-04-08,1,364.8828100000028
0,2025-04-09,0,-1.0
0,2025-04-10,1,343.78125
0,2025-04-11,0,-1.0
0,2025-04-14,1,0.9179699999949662
0,2025-04-15,1,352.4531200000056
0,2025-04-16,1,720.2968699999983
