,date,accuracy,potential
0,2024-11-11,1,7.139959999999974
0,2024-11-12,1,4.45001000000002
0,2024-11-13,1,3.159979999999905
0,2024-11-14,1,6.949949999999944
0,2024-11-15,1,1.5700100000000248
0,2024-11-18,1,7.279969999999935
0,2024-11-19,1,2.4399399999999787
0,2024-11-20,1,5.889949999999999
0,2024-11-21,1,11.260009999999966
0,2024-11-22,0,-1.0
0,2024-11-25,1,2.9799800000000687
0,2024-11-26,1,5.929989999999975
0,2024-11-27,1,0.020019999999931315
0,2024-11-29,1,0.659979999999905
0,2024-12-02,1,2.25
0,2024-12-03,1,4.5
0,2024-12-04,1,2.9799800000000687
0,2024-12-05,1,0.9899900000000343
0,2024-12-06,1,14.25
0,2024-12-09,1,6.460019999999986
0,2024-12-10,1,3.7399899999999207
0,2024-12-11,1,2.310000000000059
0,2024-12-12,0,-1.0
0,2024-12-13,1,8.339969999999994
0,2024-12-16,1,6.099969999999985
0,2024-12-17,0,-1.0
0,2024-12-18,1,14.389949999999999
0,2024-12-19,1,3.2199699999999893
0,2024-12-20,1,1.4800400000000309
0,2024-12-23,1,1.5599999999999454
0,2024-12-24,0,-1.0
0,2024-12-26,1,9.11999999999989
0,2024-12-27,1,16.629999999999995
0,2024-12-30,0,-1.0
0,2024-12-31,1,1.5199599999999691
0,2025-01-02,1,6.279969999999935
0,2025-01-03,0,-1.0
0,2025-01-06,1,8.989990000000034
0,2025-01-07,1,5.33001999999999
0,2025-01-08,1,10.090019999999981
0,2025-01-10,1,4.3700000000000045
0,2025-01-13,1,10.339969999999994
0,2025-01-14,1,12.20995999999991
0,2025-01-15,1,4.820009999999911
0,2025-01-16,1,0.12000000000000455
0,2025-01-17,1,13.48004000000003
0,2025-01-21,0,-1.0
0,2025-01-22,1,2.2900300000000016
0,2025-01-23,1,1.5599999999999454
0,2025-01-24,1,3.9400000000000546
0,2025-01-27,1,1.0400399999999763
0,2025-01-28,1,2.049980000000005
0,2025-01-29,1,0.10999000000003889
0,2025-01-30,0,-1.0
0,2025-01-31,1,10.059999999999945
0,2025-02-03,1,15.28003000000001
0,2025-02-04,0,-1.0
0,2025-02-05,1,5.309989999999971
0,2025-02-06,0,-1.0
0,2025-02-07,0,-1.0
0,2025-02-10,1,3.7200300000000652
0,2025-02-11,0,-1.0
0,2025-02-12,1,2.2399900000000343
0,2025-02-13,1,2.63000999999997
0,2025-02-14,1,8.660030000000006
0,2025-02-18,1,1.5999799999999595
0,2025-02-19,1,40.620000000000005
0,2025-02-20,1,8.109989999999925
0,2025-02-21,1,3.5599899999999707
0,2025-02-24,1,3.7200300000000652
0,2025-02-25,1,0.6699800000000096
0,2025-02-26,1,0.909979999999905
0,2025-02-27,1,0.08001000000001568
0,2025-02-28,1,1.1199900000000298
0,2025-03-03,1,14.479980000000069
0,2025-03-04,1,3.9700300000000652
0,2025-03-05,1,3.2399899999999207
0,2025-03-06,1,4.910030000000006
0,2025-03-07,1,5.890009999999961
0,2025-03-10,1,12.600029999999947
0,2025-03-11,1,9.44001000000003
0,2025-03-12,1,3.3400300000000698
0,2025-03-13,0,-1.0
0,2025-03-14,1,6.9500099999999065
0,2025-03-17,0,-1.0
0,2025-03-18,0,-1.0
0,2025-03-19,1,5.760010000000079
0,2025-03-20,1,8.209960000000024
0,2025-03-21,1,0.4800400000000309
0,2025-03-24,1,0.5100099999999657
0,2025-03-25,0,-1.0
0,2025-03-26,1,5.840029999999956
0,2025-03-27,1,7.170039999999972
0,2025-03-28,1,2.9500099999999065
0,2025-03-31,1,2.340029999999956
0,2025-04-01,1,7.8700000000000045
0,2025-04-02,1,24.78003000000001
0,2025-04-03,1,32.39002000000005
0,2025-04-04,1,29.76001000000008
0,2025-04-07,0,-1.0
0,2025-04-08,1,8.460019999999986
0,2025-04-09,1,16.67999000000009
0,2025-04-10,1,3.269960000000083
0,2025-04-11,1,2.2600099999999657
0,2025-04-14,0,-1.0
0,2025-04-15,1,4.529969999999935
0,2025-04-16,0,-1.0
