,date,accuracy,potential
0,2024-11-11,1,19.27997000000005
0,2024-11-12,1,1.0599899999999707
0,2024-11-13,1,4.86002000000002
0,2024-11-14,1,0.13997999999998
0,2024-11-15,1,0.3100000000000023
0,2024-11-18,1,5.509980000000041
0,2024-11-19,1,0.2899800000000141
0,2024-11-20,1,2.980039999999917
0,2024-11-21,1,1.1699800000000096
0,2024-11-22,0,-1.0
0,2024-11-25,1,6.690009999999916
0,2024-11-26,1,2.9199899999999843
0,2024-11-27,0,-1.0
0,2024-11-29,1,2.17999999999995
0,2024-12-02,1,2.1799899999999752
0,2024-12-03,1,8.570009999999911
0,2024-12-04,1,9.31000000000006
0,2024-12-05,1,7.629979999999989
0,2024-12-06,0,-1.0
0,2024-12-09,1,11.140019999999993
0,2024-12-10,1,0.03000000000002956
0,2024-12-11,1,16.149990000000003
0,2024-12-12,0,-1.0
0,2024-12-13,1,4.920009999999991
0,2024-12-16,1,9.660000000000025
0,2024-12-17,1,0.5400000000000205
0,2024-12-18,1,6.439999999999998
0,2024-12-19,1,3.1799899999999752
0,2024-12-20,1,0.6000099999999975
0,2024-12-23,1,2.9199800000000096
0,2024-12-24,1,3.9100099999999998
0,2024-12-26,1,4.320010000000025
0,2024-12-27,1,9.310000000000002
0,2024-12-30,0,-1.0
0,2024-12-31,0,-1.0
0,2025-01-02,1,7.559989999999971
0,2025-01-03,0,-1.0
0,2025-01-06,0,-1.0
0,2025-01-07,1,5.379979999999989
0,2025-01-08,1,1.9299899999999752
0,2025-01-10,1,2.430020000000013
0,2025-01-13,1,1.4899899999999775
0,2025-01-14,0,-1.0
0,2025-01-15,1,0.8600099999999884
0,2025-01-16,0,-1.0
0,2025-01-17,0,-1.0
0,2025-01-21,1,5.269990000000007
0,2025-01-22,1,11.629999999999995
0,2025-01-23,1,2.609989999999982
0,2025-01-24,1,8.38997999999998
0,2025-01-27,1,2.3300199999999904
0,2025-01-28,0,-1.0
0,2025-01-29,1,0.32999000000000933
0,2025-01-30,1,1.609989999999982
0,2025-01-31,1,8.819979999999987
0,2025-02-03,1,8.17000999999999
0,2025-02-04,1,2.25
0,2025-02-05,0,-1.0
0,2025-02-06,0,-1.0
0,2025-02-07,0,-1.0
0,2025-02-10,1,3.429990000000032
0,2025-02-11,1,5.3700000000000045
0,2025-02-12,1,7.230009999999993
0,2025-02-13,1,2.7800000000000296
0,2025-02-14,1,5.069999999999993
0,2025-02-18,1,8.790009999999995
0,2025-02-19,0,-1.0
0,2025-02-20,1,9.850009999999997
0,2025-02-21,1,0.5499899999999798
0,2025-02-24,1,9.209990000000005
0,2025-02-25,0,-1.0
0,2025-02-26,0,-1.0
0,2025-02-27,1,4.350000000000023
0,2025-02-28,0,-1.0
0,2025-03-03,0,-1.0
0,2025-03-04,1,18.710020000000043
0,2025-03-05,1,4.379979999999989
0,2025-03-06,1,6.839999999999975
0,2025-03-07,1,24.810000000000002
0,2025-03-10,0,-1.0
0,2025-03-11,0,-1.0
0,2025-03-12,1,0.40002000000004045
0,2025-03-13,0,-1.0
0,2025-03-14,1,3.9699999999999704
0,2025-03-17,1,4.319999999999993
0,2025-03-18,1,2.9399999999999977
0,2025-03-19,1,1.8899900000000116
0,2025-03-20,1,16.130010000000027
0,2025-03-21,1,19.739989999999977
0,2025-03-24,0,-1.0
0,2025-03-25,1,5.359989999999982
0,2025-03-26,1,12.409999999999968
0,2025-03-27,1,11.990000000000009
0,2025-03-28,1,18.510010000000023
0,2025-03-31,1,6.25
0,2025-04-01,1,6.020010000000013
0,2025-04-02,1,35.23000999999999
0,2025-04-03,1,44.77999999999997
0,2025-04-04,1,24.12002000000001
0,2025-04-07,0,-1.0
0,2025-04-08,1,3.9199799999999527
0,2025-04-09,1,25.269990000000007
0,2025-04-10,1,9.810000000000002
0,2025-04-11,0,-1.0
0,2025-04-14,1,4.140010000000018
0,2025-04-15,1,2.1699899999999843
0,2025-04-16,1,4.520019999999988
