,date,accuracy,potential
0,2024-11-11,1,48.399899999999434
0,2024-11-12,1,68.95996000000014
0,2024-11-13,1,58.41993000000002
0,2024-11-14,1,47.12011000000075
0,2024-11-17,1,60.93018000000029
0,2024-11-18,0,-1.0
0,2024-11-19,0,-1.0
0,2024-11-20,1,12.009769999999662
0,2024-11-21,0,-1.0
0,2024-11-24,1,57.220220000000154
0,2024-11-25,1,35.459969999999885
0,2024-11-26,1,50.45996000000014
0,2024-11-27,1,4.419920000000275
0,2024-11-28,0,-1.0
0,2024-12-01,1,12.33983999999964
0,2024-12-02,1,10.540039999999863
0,2024-12-03,1,43.180170000000544
0,2024-12-04,1,20.0
0,2024-12-05,0,-1.0
0,2024-12-08,1,44.12988000000041
0,2024-12-09,1,32.950190000000475
0,2024-12-10,1,26.97998000000007
0,2024-12-11,1,21.05029999999988
0,2024-12-12,1,8.169930000000022
0,2024-12-15,1,61.6298799999995
0,2024-12-16,1,94.64989999999943
0,2024-12-17,1,43.05029999999988
0,2024-12-18,1,62.70995999999923
0,2024-12-19,0,-1.0
0,2024-12-22,1,71.16991999999937
0,2024-12-23,1,19.869629999999233
0,2024-12-24,1,23.47998000000007
0,2024-12-25,1,2.0898400000005495
0,2024-12-26,0,-1.0
0,2024-12-29,1,2.7802700000002005
0,2024-12-30,0,-1.0
0,2024-12-31,1,17.12988999999925
0,2025-01-01,1,36.18017999999938
0,2025-01-02,1,11.030279999999948
0,2025-01-05,1,15.310059999999794
0,2025-01-06,1,36.88037000000077
0,2025-01-07,1,14.959960000000137
0,2025-01-08,1,3.9697299999997995
0,2025-01-09,0,-1.0
0,2025-01-12,1,51.04004000000077
0,2025-01-13,1,13.529780000000756
0,2025-01-14,0,-1.0
0,2025-01-15,1,8.689940000000206
0,2025-01-16,1,14.669919999999365
0,2025-01-19,1,31.97998000000007
0,2025-01-20,1,20.52001999999993
0,2025-01-21,0,-1.0
0,2025-01-22,1,21.970210000000407
0,2025-01-23,0,-1.0
0,2025-01-26,0,-1.0
0,2025-01-27,0,-1.0
0,2025-01-28,1,59.020010000000184
0,2025-01-29,0,-1.0
0,2025-01-30,1,18.75
0,2025-02-02,1,58.310059999999794
0,2025-02-03,0,-1.0
0,2025-02-04,1,10.990240000000085
0,2025-02-05,1,23.669930000000022
0,2025-02-06,1,35.91015999999945
0,2025-02-10,1,29.589849999999387
0,2025-02-11,1,17.10985999999957
0,2025-02-12,0,-1.0
0,2025-02-13,0,-1.0
0,2025-02-16,1,117.06982999999946
0,2025-02-17,0,-1.0
0,2025-02-18,1,242.4399399999993
0,2025-02-19,1,79.08984000000055
0,2025-02-20,1,97.16992000000027
0,2025-02-24,1,97.86962999999923
0,2025-02-25,1,34.330079999999725
0,2025-02-26,1,36.169920000000275
0,2025-02-27,1,158.65965999999935
0,2025-03-02,1,237.20019000000048
0,2025-03-03,1,2.050290000000132
0,2025-03-04,1,0.33007999999972526
0,2025-03-05,1,151.94970999999987
0,2025-03-06,1,32.03027999999995
0,2025-03-09,1,2.9799800000000687
0,2025-03-10,1,239.25
0,2025-03-11,0,-1.0
0,2025-03-12,0,-1.0
0,2025-03-13,1,58.439940000000206
0,2025-03-16,1,110.88965000000007
0,2025-03-17,0,-1.0
0,2025-03-18,1,50.600100000000566
0,2025-03-19,1,39.83984999999939
0,2025-03-20,1,44.22998000000007
0,2025-03-23,1,56.459969999999885
0,2025-03-24,1,26.880370000000767
0,2025-03-25,0,-1.0
0,2025-03-26,1,45.419920000000275
0,2025-03-27,1,125.4399400000002
0,2025-04-03,1,500.33007
0,2025-04-06,1,319.60009999999966
0,2025-04-07,0,-1.0
0,2025-04-08,1,115.4399399999993
0,2025-04-09,0,-1.0
0,2025-04-10,0,-1.0
0,2025-04-13,1,42.56982000000062
0,2025-04-14,1,15.299799999999777
0,2025-04-15,1,40.959969999999885
0,2025-04-16,1,68.92968999999994
