,date,accuracy,potential
0,2024-11-11,0,-1
0,2024-11-12,1,8.659909999999854
0,2024-11-13,0,-1
0,2024-11-14,1,18.78003000000035
0,2024-11-15,1,7.420170000000326
0,2024-11-18,1,35.0
0,2024-11-19,1,10.739990000000034
0,2024-11-20,0,-1
0,2024-11-21,1,45.42993000000024
0,2024-11-22,1,88.94995000000017
0,2024-11-25,1,76.09985000000006
0,2024-11-26,0,-1
0,2024-11-27,1,16.320070000000214
0,2024-11-29,1,67.14014000000043
0,2024-12-02,0,-1
0,2024-12-03,1,61.410159999999905
0,2024-12-04,1,31.809809999999743
0,2024-12-05,1,5.360110000000077
0,2024-12-06,1,15.360110000000077
0,2024-12-09,1,26.72998000000007
0,2024-12-10,1,7.020020000000386
0,2024-12-11,1,3.6301300000000083
0,2024-12-12,1,25.43993999999975
0,2024-12-13,0,-1
0,2024-12-16,0,-1
0,2024-12-17,1,12.299799999999777
0,2024-12-18,1,26.56981999999971
0,2024-12-19,1,11.139889999999923
0,2024-12-20,1,13.069819999999709
0,2024-12-23,1,2.2299800000000687
0,2024-12-24,1,15.590089999999691
0,2024-12-26,1,23.19995000000017
0,2024-12-27,0,-1
0,2024-12-30,1,24.48998999999958
0,2024-12-31,0,-1
0,2025-01-02,1,2.7399900000000343
0,2025-01-03,1,13.199949999999717
0,2025-01-06,1,35.73998999999958
0,2025-01-07,1,1.25
0,2025-01-08,1,47.25
0,2025-01-10,1,16.91991999999982
0,2025-01-13,1,28.090090000000146
0,2025-01-14,0,-1
0,2025-01-15,1,21.359860000000026
0,2025-01-16,1,13.16991999999982
0,2025-01-17,0,-1
0,2025-01-21,0,-1
0,2025-01-22,0,-1
0,2025-01-23,1,53.2800299999999
0,2025-01-24,1,70.04003999999986
0,2025-01-27,1,3.449949999999717
0,2025-01-28,0,-1
0,2025-01-29,0,-1
0,2025-01-30,1,22.42016999999987
0,2025-01-31,0,-1
0,2025-02-03,1,31.719970000000103
0,2025-02-04,0,-1
0,2025-02-05,1,12.489990000000034
0,2025-02-06,1,5.689939999999751
0,2025-02-07,0,-1
0,2025-02-10,1,28.72998000000007
0,2025-02-11,0,-1
0,2025-02-12,1,8.789789999999812
0,2025-02-13,0,-1
0,2025-02-14,1,9.219970000000103
0,2025-02-18,1,80.5300299999999
0,2025-02-19,1,5.820070000000214
0,2025-02-20,1,70.02001999999993
0,2025-02-21,1,23.28978999999981
0,2025-02-24,1,46.03003000000035
0,2025-02-25,1,13.189939999999751
0,2025-02-26,1,22.90991000000031
0,2025-02-27,1,7.209960000000137
0,2025-02-28,0,-1
0,2025-03-03,0,-1
0,2025-03-04,1,9.939940000000206
0,2025-03-05,1,28.800050000000283
0,2025-03-06,1,29.909909999999854
0,2025-03-07,1,20.699949999999717
0,2025-03-10,1,100.06982000000016
0,2025-03-11,0,-1
0,2025-03-12,1,7.609860000000026
0,2025-03-13,0,-1
0,2025-03-14,1,6.600100000000111
0,2025-03-17,1,18.489990000000034
0,2025-03-18,1,6.319820000000163
0,2025-03-19,1,33.090090000000146
0,2025-03-20,1,46.62012000000004
0,2025-03-21,1,48.739990000000034
0,2025-03-24,1,10.199949999999717
0,2025-03-25,1,14.790039999999863
0,2025-03-26,1,29.0
0,2025-03-27,1,35.739990000000034
0,2025-03-28,1,36.51976999999988
0,2025-03-31,1,35.0
0,2025-04-01,1,2.140139999999974
0,2025-04-02,0,-1
0,2025-04-03,0,-1
0,2025-04-04,1,109.76976999999988
0,2025-04-07,0,-1
0,2025-04-08,1,21.53003000000035
0,2025-04-09,1,78.60010000000011
0,2025-04-10,1,50.089840000000095
0,2025-04-11,1,50.96996999999965
0,2025-04-14,1,18.720220000000154
0,2025-04-15,1,37.10009999999966
0,2025-04-16,1,59.58983999999964
