,date,accuracy,potential
0,2024-11-14,1,30.919920000000275
0,2024-11-15,1,62.43946000000142
0,2024-11-18,1,93.62988000000041
0,2024-11-19,1,57.86913999999888
0,2024-11-20,1,0.47950000000128057
0,2024-11-21,0,-1.0
0,2024-11-22,0,-1.0
0,2024-11-25,0,-1.0
0,2024-11-26,0,-1.0
0,2024-11-27,1,8.799810000000434
0,2024-11-28,1,15.41015999999945
0,2024-11-29,1,74.70018999999957
0,2024-12-02,1,9.299809999998615
0,2024-12-03,0,-1.0
0,2024-12-04,1,2.990239999999176
0,2024-12-05,1,37.73047000000042
0,2024-12-06,1,11.629880000000412
0,2024-12-09,0,-1.0
0,2024-12-10,1,129.99022999999943
0,2024-12-11,1,27.049800000000687
0,2024-12-12,1,41.82031000000097
0,2024-12-13,0,-1.0
0,2024-12-16,1,81.41015999999945
0,2024-12-17,1,3.760739999999714
0,2024-12-18,0,-1.0
0,2024-12-19,1,45.10938000000169
0,2024-12-20,0,-1.0
0,2024-12-23,0,-1.0
0,2024-12-24,1,49.25
0,2024-12-27,1,3.929680000001099
0,2024-12-30,1,2.519529999999577
0,2024-12-31,0,-1.0
0,2025-01-02,1,31.72950000000128
0,2025-01-03,1,74.39061999999831
0,2025-01-06,1,131.97069999999985
0,2025-01-07,1,50.78026999999929
0,2025-01-08,1,27.549810000000434
0,2025-01-09,1,21.28027000000111
0,2025-01-10,1,16.91016000000127
0,2025-01-13,0,-1.0
0,2025-01-14,0,-1.0
0,2025-01-15,1,38.1601499999997
0,2025-01-16,1,73.67968999999903
0,2025-01-17,0,-1.0
0,2025-01-20,1,16.56055000000015
0,2025-01-21,0,-1.0
0,2025-01-22,0,-1.0
0,2025-01-23,0,-1.0
0,2025-01-24,1,76.37010999999984
0,2025-01-27,1,76.96972999999889
0,2025-01-28,1,43.84961000000112
0,2025-01-29,0,-1.0
0,2025-01-30,1,21.450190000001385
0,2025-01-31,1,229.18066
0,2025-02-03,1,49.09961000000112
0,2025-02-04,1,79.5
0,2025-02-05,1,85.20018999999957
0,2025-02-06,1,73.73925999999847
0,2025-02-07,0,-1.0
0,2025-02-10,0,-1.0
0,2025-02-11,1,106.96972999999889
0,2025-02-12,1,123.38965000000098
0,2025-02-13,1,18.419920000000275
0,2025-02-14,1,50.04003999999986
0,2025-02-17,1,19.269540000001143
0,2025-02-18,1,33.669920000000275
0,2025-02-19,1,68.26073999999971
0,2025-02-20,0,-1.0
0,2025-02-21,0,-1.0
0,2025-02-24,1,36.62012000000141
0,2025-02-25,0,-1.0
0,2025-02-26,1,81.34082000000126
0,2025-02-27,0,-1.0
0,2025-02-28,0,-1.0
0,2025-03-03,0,-1.0
0,2025-03-04,0,-1.0
0,2025-03-05,0,-1.0
0,2025-03-06,1,59.62988000000041
0,2025-03-07,1,51.75
0,2025-03-10,1,109.20996000000014
0,2025-03-11,1,130.90917999999874
0,2025-03-12,1,13.120119999999588
0,2025-03-13,1,6.6591799999987416
0,2025-03-14,0,-1.0
0,2025-03-17,0,-1.0
0,2025-03-18,1,43.169919999998456
0,2025-03-19,1,65.44042999999874
0,2025-03-20,1,14.25
0,2025-03-21,1,37.049809999998615
0,2025-03-24,0,-1.0
0,2025-03-25,1,16.27930000000015
0,2025-03-26,1,55.12988000000041
0,2025-03-27,1,105.33007999999973
0,2025-03-28,0,-1.0
0,2025-03-31,0,-1.0
0,2025-04-01,1,73.91992000000027
0,2025-04-02,1,218.73925999999847
0,2025-04-03,1,180.16991999999846
0,2025-04-04,1,590.6601599999995
0,2025-04-07,0,-1.0
0,2025-04-08,1,333.95996000000014
0,2025-04-09,1,570.1796900000008
0,2025-04-10,1,109.40038999999888
0,2025-04-11,1,196.60059
0,2025-04-14,0,-1.0
0,2025-04-15,0,-1.0
0,2025-04-16,1,84.87989000000016
