,date,accuracy,potential
0,2024-11-08,1,59.19140999999945
0,2024-11-11,1,282.3828100000028
0,2024-11-12,1,1019.9414099999995
0,2024-11-13,1,494.5703100000028
0,2024-11-14,1,240.62109000000055
0,2024-11-18,0,-1.0
0,2024-11-19,1,441.53125
0,2024-11-21,1,409.15234000000055
0,2024-11-22,0,-1.0
0,2024-11-25,1,601.2617200000022
0,2024-11-26,1,188.3984399999972
0,2024-11-27,0,-1.0
0,2024-11-28,1,57.14062999999442
0,2024-11-29,0,-1.0
0,2024-12-02,0,-1.0
0,2024-12-03,1,97.48827999999776
0,2024-12-04,1,254.46094000000448
0,2024-12-05,0,-1.0
0,2024-12-06,1,249.94922000000224
0,2024-12-09,0,-1.0
0,2024-12-10,0,-1.0
0,2024-12-11,0,-1.0
0,2024-12-12,1,2.6523400000005495
0,2024-12-13,1,244.57812000000558
0,2024-12-16,1,400.76952999999776
0,2024-12-17,1,65.04297000000224
0,2024-12-18,0,-1.0
0,2024-12-19,1,326.1484399999972
0,2024-12-20,1,169.0
0,2024-12-23,1,568.2382900000011
0,2024-12-24,0,-1.0
0,2024-12-26,0,-1.0
0,2024-12-27,1,512.3515599999955
0,2024-12-30,0,-1.0
0,2024-12-31,1,317.4218800000017
0,2025-01-01,1,874.3710999999967
0,2025-01-02,1,213.77734000000055
0,2025-01-03,1,249.65235000000393
0,2025-01-06,1,323.41015999999945
0,2025-01-07,1,166.6796899999972
0,2025-01-08,1,305.73046999999497
0,2025-01-09,0,-1.0
0,2025-01-10,0,-1.0
0,2025-01-13,1,983.7304700000022
0,2025-01-14,1,102.51171999999497
0,2025-01-15,1,508.7109399999972
0,2025-01-16,1,132.0
0,2025-01-17,0,-1.0
0,2025-01-20,1,456.01952999999776
0,2025-01-21,1,102.21094000000448
0,2025-01-22,1,702.4179700000022
0,2025-01-23,1,580.9296800000011
0,2025-01-24,1,752.7890599999955
0,2025-01-27,1,114.9375
0,2025-01-28,1,816.9101599999995
0,2025-01-29,0,-1.0
0,2025-01-30,1,759.949219999995
0,2025-01-31,1,45.48827999999776
0,2025-02-01,0,-1.0
0,2025-02-03,0,-1.0
0,2025-02-04,1,194.2890600000028
0,2025-02-05,1,341.7187399999966
0,2025-02-06,1,271.1015699999989
0,2025-02-07,1,240.6328100000028
0,2025-02-10,0,-1.0
0,2025-02-11,0,-1.0
0,2025-02-12,1,334.05859000000055
0,2025-02-13,1,336.3593799999944
0,2025-02-14,0,-1.0
0,2025-02-17,1,641.1484300000011
0,2025-02-18,1,267.33203000000503
0,2025-02-19,1,529.2773400000005
0,2025-02-20,1,1209.5703099999955
0,2025-02-21,1,52.60936999999831
0,2025-02-24,0,-1.0
0,2025-02-25,1,536.9609400000045
0,2025-02-27,1,1418.460930000001
0,2025-02-28,1,548.3593799999944
0,2025-03-03,1,607.71875
0,2025-03-04,1,961.8710900000005
0,2025-03-05,1,79.66015999999945
0,2025-03-06,1,540.4375
0,2025-03-07,1,17.292970000002242
0,2025-03-10,0,-1.0
0,2025-03-11,1,40.05077999999776
0,2025-03-12,1,293.09764999999607
0,2025-03-13,1,808.7421899999972
0,2025-03-17,0,-1.0
0,2025-03-18,1,319.0703100000028
0,2025-03-19,1,565.1796899999972
0,2025-03-20,1,562.0195299999978
0,2025-03-21,1,196.03125
0,2025-03-24,1,180.53905999999552
0,2025-03-25,1,423.1093700000056
0,2025-03-26,1,1043.1210900000005
0,2025-03-27,0,-1.0
0,2025-03-28,1,646.1913999999961
0,2025-04-01,1,120.30077999999776
0,2025-04-02,1,613.7421800000011
0,2025-04-03,0,-1.0
0,2025-04-04,1,2645.210930000001
0,2025-04-07,1,881.8203099999955
0,2025-04-08,1,262.8203199999989
0,2025-04-09,1,947.6796800000011
0,2025-04-11,1,1507.4531300000017
0,2025-04-15,1,356.80859999999666
0,2025-04-16,1,460.05078000000503
