,date,accuracy,potential
0,2024-11-11,1,52.35059000000001
0,2024-11-12,0,-1.0
0,2024-11-13,1,120.37989000000016
0,2024-11-14,1,61.56055000000015
0,2024-11-17,1,44.12989000000016
0,2024-11-18,1,58.950189999999566
0,2024-11-19,1,14.149409999999989
0,2024-11-20,1,9.830079999999725
0,2024-11-21,1,8.150390000000698
0,2024-11-24,1,60.609379999999874
0,2024-11-25,0,-1.0
0,2024-11-26,1,43.25
0,2024-11-27,1,15.980470000000423
0,2024-11-28,1,107.45020000000113
0,2024-12-01,1,13.010739999999714
0,2024-12-02,0,-1.0
0,2024-12-03,1,41.46972000000096
0,2024-12-04,0,-1.0
0,2024-12-05,1,90.48047000000042
0,2024-12-08,1,2.819340000000011
0,2024-12-09,1,72.37988000000041
0,2024-12-10,1,18.610350000000835
0,2024-12-11,1,16.820310000000973
0,2024-12-12,1,33.83983999999873
0,2024-12-15,1,13.319340000000011
0,2024-12-16,1,74.22948999999971
0,2024-12-17,1,54.73925999999847
0,2024-12-18,1,118.8398500000003
0,2024-12-19,1,4.900389999998879
0,2024-12-22,1,26.169919999998456
0,2024-12-23,1,38.81055000000015
0,2024-12-24,1,4.870119999999588
0,2024-12-25,1,10.929689999999027
0,2024-12-26,1,29.879880000000412
0,2024-12-29,0,-1.0
0,2024-12-30,1,34.64061999999831
0,2024-12-31,1,10.979490000001533
0,2025-01-01,1,3.680659999999989
0,2025-01-02,1,12.489260000000286
0,2025-01-05,1,40.0996099999993
0,2025-01-06,1,29.0703199999989
0,2025-01-07,1,22.799810000000434
0,2025-01-08,1,45.24022999999943
0,2025-01-09,0,-1.0
0,2025-01-12,1,13.400390000000698
0,2025-01-13,0,-1.0
0,2025-01-14,0,-1.0
0,2025-01-15,0,-1.0
0,2025-01-16,0,-1.0
0,2025-01-19,1,0.75
0,2025-01-20,1,27.62010999999984
0,2025-01-21,1,6.790039999999863
0,2025-01-22,1,23.890619999998307
0,2025-01-23,1,43.109370000000126
0,2025-01-26,1,2.2900399999998626
0,2025-01-27,0,-1.0
0,2025-01-28,1,13.569330000000264
0,2025-01-29,1,20.830079999999725
0,2025-01-30,1,38.99022999999943
0,2025-02-02,1,94.11035000000084
0,2025-02-03,1,40.95020000000113
0,2025-02-04,1,4.5
0,2025-02-05,1,38.81055000000015
0,2025-02-06,1,34.769530000001396
0,2025-02-10,1,39.959969999999885
0,2025-02-11,1,37.649420000001555
0,2025-02-12,1,33.46972000000096
0,2025-02-13,0,-1.0
0,2025-02-16,0,-1.0
0,2025-02-17,1,58.360349999999016
0,2025-02-18,0,-1.0
0,2025-02-19,1,42.799810000000434
0,2025-02-20,1,47.80957000000126
0,2025-02-24,0,-1.0
0,2025-02-25,1,60.62987999999859
0,2025-02-26,1,47.37011999999959
0,2025-02-27,1,62.419920000000275
0,2025-03-02,1,82.68944999999985
0,2025-03-03,0,-1.0
0,2025-03-04,1,66.22069999999985
0,2025-03-05,1,145.38964999999916
0,2025-03-06,1,59.04003999999986
0,2025-03-09,1,78.10059000000001
0,2025-03-10,0,-1.0
0,2025-03-11,1,43.06934000000001
0,2025-03-12,1,13.269529999999577
0,2025-03-13,0,-1.0
0,2025-03-16,1,6.660150000001522
0,2025-03-17,1,64.42969000000085
0,2025-03-18,1,73.02050999999847
0,2025-03-19,1,38.919920000000275
0,2025-03-20,0,-1.0
0,2025-03-23,1,31.0
0,2025-03-24,1,32.450190000001385
0,2025-03-25,0,-1.0
0,2025-03-26,0,-1.0
0,2025-03-27,0,-1.0
0,2025-04-03,0,-1.0
0,2025-04-06,1,444.0302700000011
0,2025-04-07,1,336.99023000000125
0,2025-04-08,1,41.33006999999998
0,2025-04-09,0,-1.0
0,2025-04-10,1,122.10057999999844
0,2025-04-13,1,11.650390000000698
0,2025-04-14,0,-1.0
0,2025-04-15,1,14.870119999999588
0,2025-04-16,0,-1.0
