,date,accuracy,potential
0,2024-11-14,1,12.029909999999973
0,2024-11-15,1,6.3499799999999595
0,2024-11-18,1,19.95995999999991
0,2024-11-19,0,-1.0
0,2024-11-20,1,11.820069999999987
0,2024-11-21,1,7.479979999999841
0,2024-11-22,0,-1.0
0,2024-11-25,1,15.109989999999925
0,2024-11-26,1,13.699950000000172
0,2024-11-27,0,-1.0
0,2024-11-28,1,4.739990000000034
0,2024-11-29,1,9.639900000000125
0,2024-12-02,0,-1.0
0,2024-12-03,0,-1.0
0,2024-12-04,1,0.5899699999999939
0,2024-12-05,1,1.3499699999999848
0,2024-12-06,1,0.030020000000149594
0,2024-12-09,1,6.460080000000062
0,2024-12-10,1,4.020020000000159
0,2024-12-11,1,1.5699500000000626
0,2024-12-12,1,0.7399900000000343
0,2024-12-13,1,4.849970000000212
0,2024-12-16,1,8.719970000000103
0,2024-12-17,1,0.11999999999989086
0,2024-12-18,1,22.319950000000063
0,2024-12-19,1,18.880010000000084
0,2024-12-20,1,10.059940000000097
0,2024-12-23,0,-1.0
0,2024-12-24,1,3.2399999999997817
0,2024-12-27,1,5.320060000000012
0,2024-12-30,1,2.0
0,2024-12-31,1,8.129879999999957
0,2025-01-02,1,8.150030000000015
0,2025-01-03,0,-1.0
0,2025-01-06,1,5.550040000000081
0,2025-01-07,1,1.929930000000013
0,2025-01-08,1,5.130000000000109
0,2025-01-09,1,4.5999799999999595
0,2025-01-10,1,15.020019999999931
0,2025-01-13,0,-1.0
0,2025-01-14,0,-1.0
0,2025-01-15,0,-1.0
0,2025-01-16,0,-1.0
0,2025-01-17,0,-1.0
0,2025-01-20,1,4.330069999999978
0,2025-01-21,0,-1.0
0,2025-01-22,1,4.369999999999891
0,2025-01-23,0,-1.0
0,2025-01-24,1,20.869989999999916
0,2025-01-27,0,-1.0
0,2025-01-28,1,2.339969999999994
0,2025-01-29,0,-1.0
0,2025-01-30,0,-1.0
0,2025-01-31,1,31.38000000000011
0,2025-02-03,1,6.979989999999816
0,2025-02-04,1,6.569950000000063
0,2025-02-05,0,-1.0
0,2025-02-06,1,3.3000499999998283
0,2025-02-07,0,-1.0
0,2025-02-10,1,1.2899199999999382
0,2025-02-11,0,-1.0
0,2025-02-12,0,-1.0
0,2025-02-13,1,2.4300499999999374
0,2025-02-14,0,-1.0
0,2025-02-17,1,5.290039999999863
0,2025-02-18,1,2.049929999999904
0,2025-02-19,0,-1.0
0,2025-02-20,1,0.9799899999998161
0,2025-02-21,1,6.79004000000009
0,2025-02-24,1,7.310050000000047
0,2025-02-25,0,-1.0
0,2025-02-26,1,17.46008000000006
0,2025-02-27,1,15.60997999999995
0,2025-02-28,1,1.0100099999999657
0,2025-03-03,1,30.839969999999994
0,2025-03-04,0,-1.0
0,2025-03-05,1,5.910030000000006
0,2025-03-06,1,22.309940000000097
0,2025-03-07,1,15.579960000000028
0,2025-03-10,0,-1.0
0,2025-03-11,0,-1.0
0,2025-03-12,1,9.569950000000063
0,2025-03-13,1,3.54004000000009
0,2025-03-14,1,0.26001000000019303
0,2025-03-17,0,-1.0
0,2025-03-18,1,5.880000000000109
0,2025-03-19,1,17.5
0,2025-03-20,1,15.829960000000028
0,2025-03-21,1,0.28003000000012435
0,2025-03-24,0,-1.0
0,2025-03-25,1,13.91991999999982
0,2025-03-26,1,20.20006999999987
0,2025-03-27,1,13.619990000000143
0,2025-03-28,1,22.390010000000075
0,2025-03-31,0,-1.0
0,2025-04-01,1,16.27001999999993
0,2025-04-02,1,34.949949999999944
0,2025-04-03,1,38.45006999999987
0,2025-04-04,1,109.4200400000002
0,2025-04-07,0,-1.0
0,2025-04-08,1,50.27001999999993
0,2025-04-09,0,-1.0
0,2025-04-10,1,24.389900000000125
0,2025-04-11,0,-1.0
0,2025-04-14,0,-1.0
0,2025-04-15,1,21.130010000000084
0,2025-04-16,1,9.709960000000137
