,date,accuracy,potential
0,2024-11-11,1,2.060059999999794
0,2024-11-12,0,-1.0
0,2024-11-13,0,-1.0
0,2024-11-14,1,56.510009999999966
0,2024-11-15,1,34.170170000000326
0,2024-11-18,1,32.390139999999974
0,2024-11-19,1,19.909909999999854
0,2024-11-20,1,10.489990000000034
0,2024-11-21,0,-1.0
0,2024-11-22,1,12.91991999999982
0,2024-11-25,1,8.370120000000043
0,2024-11-26,1,20.330079999999725
0,2024-11-27,0,-1.0
0,2024-11-29,1,3.8500999999996566
0,2024-12-02,1,23.15991000000031
0,2024-12-03,1,9.979980000000069
0,2024-12-04,0,-1.0
0,2024-12-05,0,-1.0
0,2024-12-06,1,65.6501500000004
0,2024-12-09,1,7.790039999999863
0,2024-12-10,0,-1.0
0,2024-12-11,1,35.91991999999982
0,2024-12-12,1,35.679929999999786
0,2024-12-13,0,-1.0
0,2024-12-16,1,13.820070000000214
0,2024-12-17,1,13.539789999999812
0,2024-12-18,0,-1.0
0,2024-12-19,1,26.16991999999982
0,2024-12-20,1,40.760009999999966
0,2024-12-23,0,-1.0
0,2024-12-24,1,27.239990000000034
0,2024-12-26,1,86.58008000000018
0,2024-12-27,1,72.0898400000001
0,2024-12-30,1,17.889889999999923
0,2024-12-31,1,13.700200000000223
0,2025-01-02,1,20.689940000000206
0,2025-01-03,0,-1.0
0,2025-01-06,1,26.280029999999897
0,2025-01-07,1,25.03978999999981
0,2025-01-08,1,107.5600599999998
0,2025-01-10,1,21.129879999999957
0,2025-01-13,1,24.709960000000137
0,2025-01-14,0,-1.0
0,2025-01-15,0,-1.0
0,2025-01-16,0,-1.0
0,2025-01-17,0,-1.0
0,2025-01-21,0,-1.0
0,2025-01-22,0,-1.0
0,2025-01-23,1,25.25
0,2025-01-24,1,25.38013000000001
0,2025-01-27,1,37.95020000000022
0,2025-01-28,1,9.199950000000172
0,2025-01-29,0,-1.0
0,2025-01-30,0,-1.0
0,2025-01-31,1,50.25
0,2025-02-03,0,-1.0
0,2025-02-04,1,12.620120000000043
0,2025-02-05,1,22.920170000000326
0,2025-02-06,1,36.06006000000025
0,2025-02-07,0,-1.0
0,2025-02-10,1,42.489990000000034
0,2025-02-11,1,34.77001999999993
0,2025-02-12,0,-1.0
0,2025-02-13,1,0.43017999999938183
0,2025-02-14,1,74.95996999999988
0,2025-02-18,1,32.6201200000005
0,2025-02-19,1,86.9399400000002
0,2025-02-20,1,36.57983000000013
0,2025-02-21,1,52.929929999999786
0,2025-02-24,1,58.159909999999854
0,2025-02-25,0,-1.0
0,2025-02-26,1,52.890139999999974
0,2025-02-27,0,-1.0
0,2025-02-28,1,6.860110000000077
0,2025-03-03,1,103.16991999999982
0,2025-03-04,1,10.409909999999854
0,2025-03-05,1,108.25
0,2025-03-06,1,107.09985000000006
0,2025-03-07,1,70.07006999999976
0,2025-03-10,1,9.25
0,2025-03-11,1,7.040040000000317
0,2025-03-12,1,60.09985000000006
0,2025-03-13,0,-1.0
0,2025-03-14,0,-1.0
0,2025-03-17,1,103.85986000000003
0,2025-03-18,1,10.649899999999889
0,2025-03-19,1,28.91991999999982
0,2025-03-20,1,29.570070000000214
0,2025-03-21,0,-1.0
0,2025-03-24,0,-1.0
0,2025-03-25,1,45.390139999999974
0,2025-03-26,1,16.390139999999974
0,2025-03-27,1,108.70996000000014
0,2025-03-28,1,71.47998000000007
0,2025-03-31,1,56.92993000000024
0,2025-04-01,1,35.19995000000017
0,2025-04-02,1,131.87987999999996
0,2025-04-03,1,189.68993999999975
0,2025-04-04,1,152.91991999999982
0,2025-04-07,0,-1.0
0,2025-04-08,1,44.75
0,2025-04-09,1,91.89013999999997
0,2025-04-10,1,32.5
0,2025-04-11,0,-1.0
0,2025-04-14,0,-1.0
0,2025-04-15,1,42.570070000000214
0,2025-04-16,0,-1.0
